時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
98年	 1 	 714 	 17 	 135 	 127 	 4 	 15 	 39 	0
98年 1月	0	 70 	 1 	 10 	 7 	 1 	 1 	 3 	0
98年 2月	0	 51 	 2 	 14 	 16 	 1 	 2 	0	0
98年 3月	0	 84 	 2 	 24 	 11 	0	 1 	 2 	0
98年 4月	0	 45 	0	 18 	 8 	0	 1 	 2 	0
98年 5月	0	 40 	0	 5 	 10 	0	0	 3 	0
98年 6月	0	 57 	 2 	 11 	 4 	0	 4 	 1 	0
98年 7月	 1 	 58 	 2 	 13 	 16 	 1 	 2 	 7 	0
98年 8月	0	 58 	 1 	 8 	 7 	0	 2 	0	0
98年 9月	0	 72 	 1 	 13 	 11 	0	 1 	 4 	0
98年 10月	0	 60 	 2 	 6 	 13 	0	 1 	 8 	0
98年 11月	0	 62 	 2 	 10 	 11 	 1 	0	 6 	0
98年 12月	0	 57 	 2 	 3 	 13 	0	0	 3 	0
99年	 3 	 1,053 	 31 	 125 	 112 	 3 	 14 	 70 	0
99年 1月	0	 65 	 1 	 3 	 3 	0	0	 5 	0
99年 2月	0	 43 	 3 	 13 	 12 	0	 2 	 17 	0
99年 3月	0	 96 	 2 	 7 	 4 	0	 1 	 8 	0
99年 4月	 1 	 99 	 2 	 7 	 5 	 1 	0	 4 	0
99年 5月	0	 89 	 1 	 12 	 12 	 1 	 2 	 4 	0
99年 6月	0	 112 	 3 	 10 	 7 	0	0	 6 	0
99年 7月	 1 	 94 	 3 	 12 	 9 	0	0	 5 	0
99年 8月	0	 107 	 4 	 28 	 10 	0	 4 	 5 	0
99年 9月	 1 	 106 	 2 	 14 	 10 	0	 3 	 4 	0
99年 10月	0	 89 	 3 	 14 	 16 	0	 1 	 3 	0
99年 11月	0	 63 	 3 	 3 	 14 	 1 	 1 	 4 	0
99年 12月	0	 90 	 4 	 2 	 10 	0	0	 5 	0
100年	 4 	 1,214 	 42 	 126 	 120 	 4 	 14 	 77 	0
100年 1月	 1 	 100 	 1 	 10 	 6 	0	0	 4 	0
100年 2月	0	 82 	 4 	 8 	 6 	0	 2 	 3 	0
100年 3月	0	 118 	 5 	 16 	 6 	0	 3 	 4 	0
100年 4月	 2 	 95 	 4 	 14 	 15 	 2 	0	 2 	0
100年 5月	0	 114 	 6 	 10 	 14 	 1 	 3 	 8 	0
100年 6月	0	 114 	 4 	 9 	 9 	0	0	 3 	0
100年 7月	0	 98 	 4 	 12 	 18 	0	 1 	 8 	0
100年 8月	0	 82 	0	 14 	 6 	0	 2 	 6 	0
100年 9月	0	 90 	 5 	 12 	 13 	 1 	 1 	 2 	0
100年 10月	 1 	 113 	 3 	 10 	 8 	0	0	 13 	0
100年 11月	0	 104 	 3 	 11 	 8 	0	 2 	 13 	0
100年 12月	0	 104 	 3 	0	 11 	0	0	 11 	0
101年	 7 	 1,487 	 52 	 81 	 126 	 8 	 15 	 156 	0
101年 1月	0	 84 	 3 	 5 	 15 	0	0	 14 	0
