時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
102年 10月	0	0	 1 	 15 	0	0	0	 4 	 39 
102年 11月	0	0	0	 16 	0	0	0	 11 	 44 
102年 12月	0	0	0	 12 	0	0	0	 7 	 45 
103年	 2 	0	 8 	 106 	 2 	 5 	0	 129 	 703 
103年 1月	0	0	 1 	 5 	0	 1 	0	 31 	 65 
103年 2月	0	0	 1 	 4 	0	 1 	0	 8 	 61 
103年 3月	0	0	 1 	 15 	 2 	0	0	 6 	 51 
103年 4月	0	0	0	 11 	0	 1 	0	 10 	 43 
103年 5月	0	0	0	 12 	0	0	0	 8 	 32 
103年 6月	 1 	0	 1 	 6 	0	0	0	 8 	 37 
103年 7月	0	0	 1 	 10 	0	0	0	 13 	 112 
103年 8月	0	0	 1 	 4 	0	0	0	 7 	 92 
103年 9月	0	0	0	 12 	0	 1 	0	 9 	 62 
103年 10月	0	0	0	 14 	0	0	0	 10 	 51 
103年 11月	 1 	0	0	 10 	0	 1 	0	 11 	 52 
103年 12月	0	0	 2 	 3 	0	0	0	 8 	 45 
104年	 2 	0	 11 	 119 	 3 	 6 	 1 	 177 	 799 
104年 1月	0	0	 1 	 9 	0	 1 	0	 4 	 49 
104年 2月	0	0	 1 	 5 	0	 1 	0	 37 	 82 
104年 3月	0	0	 1 	 16 	0	0	0	 7 	 52 
104年 4月	0	0	 1 	 7 	0	0	0	 13 	 59 
104年 5月	 1 	0	 1 	 5 	0	 1 	0	 8 	 43 
104年 6月	0	0	 1 	 18 	 1 	 1 	0	 23 	 59 
104年 7月	 1 	0	 2 	 13 	0	0	0	 17 	 93 
104年 8月	0	0	0	 8 	0	0	0	 13 	 138 
104年 9月	0	0	 1 	 14 	0	0	0	 9 	 41 
104年 10月	0	0	0	 12 	0	0	0	 15 	 64 
104年 11月	0	0	 1 	 7 	 1 	0	 1 	 16 	 62 
104年 12月	0	0	 1 	 5 	 1 	 2 	0	 15 	 57 
105年	 11 	0	 7 	 114 	 2 	0	 1 	 161 	 797 
105年 1月	 1 	0	 1 	 8 	 2 	0	0	 12 	 63 
105年 2月	0	0	 1 	 6 	0	0	0	 6 	 29 
105年 3月	 2 	0	0	 6 	0	0	0	 10 	 69 
105年 4月	 1 	0	 1 	 13 	0	0	 1 	 10 	 51 
105年 5月	 2 	0	0	 11 	0	0	0	 22 	 63 
105年 6月	 2 	0	0	 17 	0	0	0	 14 	 73 
105年 7月	0	0	0	 6 	0	0	0	 17 	 91 
105年 8月	 2 	0	 1 	 12 	0	0	0	 16 	 118 
105年 9月	0	0	 1 	 11 	0	0	0	 11 	 55 
105年 10月	0	0	0	 7 	0	0	0	 13 	 76 
105年 11月	 1 	0	 2 	 12 	0	0	0	 18 	 61 
105年 12月	0	0	0	 5 	0	0	0	 12 	 48 
