時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
95年 2月	0	0	0	0	0	0	0	 1 	 1 
95年 3月	0	0	0	0	0	0	0	0	 4 
95年 4月	0	0	0	0	0	0	0	0	 3 
95年 5月	0	0	0	0	0	0	0	 1 	 2 
95年 6月	0	0	0	0	0	0	0	0	 10 
95年 7月	0	0	0	0	0	0	0	0	 3 
95年 8月	0	0	0	0	0	0	0	0	 1 
95年 9月	0	0	0	0	0	0	0	 1 	 5 
95年 10月	0	0	0	0	0	0	0	0	 2 
95年 11月	0	0	0	 2 	0	0	0	 1 	 2 
95年 12月	0	0	0	 3 	0	0	0	0	 3 
96年	 1 	0	0	 4 	0	0	0	 5 	 35 
96年 1月	0	0	0	0	0	0	0	0	 2 
96年 2月	0	0	0	0	0	0	0	0	0
96年 3月	0	0	0	0	0	0	0	0	 2 
96年 4月	0	0	0	0	0	0	0	 1 	 2 
96年 5月	0	0	0	0	0	0	0	 1 	 2 
96年 6月	0	0	0	0	0	0	0	0	 2 
96年 7月	0	0	0	 1 	0	0	0	0	 10 
96年 8月	0	0	0	 1 	0	0	0	0	 3 
96年 9月	0	0	0	 1 	0	0	0	0	 5 
96年 10月	0	0	0	0	0	0	0	 1 	 1 
96年 11月	 1 	0	0	0	0	0	0	 1 	 4 
96年 12月	0	0	0	 1 	0	0	0	 1 	 2 
97年	0	0	0	 2 	0	0	0	 1 	 20 
97年 1月	0	0	0	0	0	0	0	0	 2 
97年 2月	0	0	0	0	0	0	0	0	 2 
97年 3月	0	0	0	0	0	0	0	0	 3 
97年 4月	0	0	0	0	0	0	0	0	 1 
97年 5月	0	0	0	0	0	0	0	0	 1 
97年 6月	0	0	0	 1 	0	0	0	0	 2 
97年 7月	0	0	0	0	0	0	0	0	 5 
97年 8月	0	0	0	 1 	0	0	0	0	 1 
97年 9月	0	0	0	0	0	0	0	0	 1 
97年 10月	0	0	0	0	0	0	0	0	 2 
97年 11月	0	0	0	0	0	0	0	 1 	0
97年 12月	0	0	0	0	0	0	0	0	0
98年	0	0	0	 1 	0	0	0	 2 	 60 
98年 1月	0	0	0	0	0	0	0	0	 1 
98年 2月	0	0	0	0	0	0	0	0	 2 
98年 3月	0	0	0	0	0	0	0	0	 3 
98年 4月	0	0	0	0	0	0	0	0	 1 
98年 5月	0	0	0	0	0	0	0	0	 2 
98年 6月	0	0	0	0	0	0	0	 1 	 3 
98年 7月	0	0	0	0	0	0	0	 1 	 11 
98年 8月	0	0	0	0	0	0	0	0	 2 
98年 9月	0	0	0	0	0	0	0	0	 1 
98年 10月	0	0	0	0	0	0	0	0	 6 
98年 11月	0	0	0	 1 	0	0	0	0	 3 
98年 12月	0	0	0	0	0	0	0	0	 25 
99年	 1 	0	0	 3 	 1 	0	0	 2 	 50 
99年 1月	 1 	0	0	 1 	 1 	0	0	0	 1 
99年 2月	0	0	0	 1 	0	0	0	0	 9 
99年 3月	0	0	0	0	0	0	0	0	 2 
99年 4月	0	0	0	0	0	0	0	0	 6 
99年 5月	0	0	0	 1 	0	0	0	0	0
99年 6月	0	0	0	0	0	0	0	0	 12 
99年 7月	0	0	0	0	0	0	0	 1 	 5 
99年 8月	0	0	0	0	0	0	0	 1 	 6 
99年 9月	0	0	0	0	0	0	0	0	 1 
99年 10月	0	0	0	0	0	0	0	0	 4 
99年 11月	0	0	0	0	0	0	0	0	 2 
99年 12月	0	0	0	0	0	0	0	0	 2 
100年	0	0	0	 1 	 1 	0	0	 2 	 31 
100年 1月	0	0	0	0	0	0	0	 1 	 1 
100年 2月	0	0	0	0	0	0	0	0	 1 
100年 3月	0	0	0	0	0	0	0	 1 	 1 
