時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
92年 1月	0	0	0	0	 10 	0	0	 44 	0
92年 2月	0	0	0	0	 7 	0	 2 	 25 	0
92年 3月	0	0	0	0	 1 	0	 1 	 34 	0
92年 4月	0	0	0	0	 4 	0	0	 30 	0
92年 5月	0	0	0	0	 2 	0	 2 	 28 	0
92年 6月	0	0	0	0	 2 	0	 1 	 38 	0
92年 7月	0	0	0	0	0	0	0	 35 	0
92年 8月	0	0	0	0	 4 	0	 1 	 64 	0
92年 9月	0	0	0	0	 4 	0	0	 48 	0
92年 10月	0	0	0	0	 2 	0	0	 51 	0
92年 11月	0	0	0	0	 3 	0	0	 44 	0
92年 12月	0	0	0	0	 2 	0	 3 	 40 	0
93年	0	0	0	0	 12 	0	 9 	 589 	0
93年 1月	0	0	0	0	 1 	0	0	 53 	0
93年 2月	0	0	0	0	 1 	0	0	 33 	0
93年 3月	0	0	0	0	0	0	0	 30 	0
93年 4月	0	0	0	0	 1 	0	0	 48 	0
93年 5月	0	0	0	0	0	0	0	 36 	0
93年 6月	0	0	0	0	 1 	0	 1 	 39 	0
93年 7月	0	0	0	0	0	0	 1 	 69 	0
93年 8月	0	0	0	0	 2 	0	 2 	 50 	0
93年 9月	0	0	0	0	 2 	0	 1 	 32 	0
93年 10月	0	0	0	0	 1 	0	 4 	 62 	0
93年 11月	0	0	0	0	 1 	0	0	 75 	0
93年 12月	0	0	0	0	 2 	0	0	 62 	0
94年	0	0	0	 2 	 12 	0	 4 	 796 	0
94年 1月	0	0	0	0	0	0	0	 72 	0
94年 2月	0	0	0	0	0	0	0	 46 	0
94年 3月	0	0	0	0	 2 	0	0	 67 	0
94年 4月	0	0	0	0	0	0	0	 70 	0
94年 5月	0	0	0	0	 2 	0	 1 	 75 	0
94年 6月	0	0	0	 1 	0	0	 1 	 86 	0
94年 7月	0	0	0	0	0	0	 1 	 75 	0
94年 8月	0	0	0	 1 	 2 	0	 1 	 55 	0
94年 9月	0	0	0	0	0	0	0	 68 	0
94年 10月	0	0	0	0	 4 	0	0	 59 	0
94年 11月	0	0	0	0	 1 	0	0	 43 	0
94年 12月	0	0	0	0	 1 	0	0	 80 	0
95年	 1 	0	0	 1 	 15 	0	 11 	 900 	0
95年 1月	0	0	0	0	 2 	0	 1 	 96 	0
95年 2月	0	0	0	0	 1 	0	 1 	 61 	0
95年 3月	0	0	0	0	0	0	0	 76 	0
95年 4月	0	0	0	0	 2 	0	 1 	 69 	0
95年 5月	0	0	0	 1 	 1 	0	 1 	 67 	0
95年 6月	0	0	0	0	0	0	 1 	 59 	0
95年 7月	0	0	0	0	 2 	0	0	 80 	0
95年 8月	0	0	0	0	 3 	0	 3 	 90 	0
95年 9月	0	0	0	0	 1 	0	 3 	 70 	0
95年 10月	0	0	0	0	 1 	0	0	 77 	0
95年 11月	 1 	0	0	0	 2 	0	0	 74 	0
95年 12月	0	0	0	0	0	0	0	 81 	0
96年	0	0	0	 3 	 20 	0	 7 	 1,258 	0
96年 1月	0	0	0	0	0	0	 1 	 116 	0
96年 2月	0	0	0	0	0	0	 1 	 100 	0
96年 3月	0	0	0	 3 	 2 	0	0	 118 	0
96年 4月	0	0	0	0	 2 	0	 2 	 92 	0
96年 5月	0	0	0	0	 2 	0	0	 104 	0
96年 6月	0	0	0	0	 1 	0	0	 88 	0
96年 7月	0	0	0	0	 2 	0	0	 97 	0
96年 8月	0	0	0	0	 4 	0	 1 	 102 	0
96年 9月	0	0	0	0	 3 	0	0	 119 	0
96年 10月	0	0	0	0	 1 	0	 1 	 109 	0
96年 11月	0	0	0	0	0	0	 1 	 98 	0
96年 12月	0	0	0	0	 3 	0	0	 115 	0
97年	 1 	 1 	0	 3 	 30 	0	 3 	 1,549 	 1 
97年 1月	0	0	0	0	 1 	0	 2 	 92 	0
97年 2月	0	0	0	0	0	0	0	 107 	0
