時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
100年 4月	0	0	0	0	 5 	0	 1 	 75 	0
100年 5月	0	0	0	0	 2 	0	0	 81 	 1 
100年 6月	0	0	0	0	0	0	 1 	 67 	0
100年 7月	0	 1 	0	0	 12 	0	0	 77 	0
100年 8月	0	 1 	0	 1 	 2 	0	0	 64 	0
100年 9月	0	 5 	0	 1 	 13 	0	0	 89 	0
100年 10月	0	0	0	0	 11 	0	0	 53 	0
100年 11月	0	0	0	0	 3 	0	0	 86 	0
100年 12月	0	0	0	0	 5 	0	 1 	 91 	0
101年	0	 9 	0	 2 	 39 	0	 2 	 1,238 	0
101年 1月	0	 1 	0	0	0	0	0	 91 	0
101年 2月	0	 1 	0	0	 15 	0	0	 87 	0
101年 3月	0	0	0	0	 3 	0	0	 93 	0
101年 4月	0	 1 	0	 1 	 5 	0	0	 85 	0
101年 5月	0	0	0	0	0	0	 1 	 95 	0
101年 6月	0	 3 	0	0	 3 	0	0	 72 	0
101年 7月	0	0	0	 1 	 2 	0	 1 	 144 	0
101年 8月	0	 1 	0	0	0	0	0	 183 	0
101年 9月	0	 1 	0	0	 4 	0	0	 114 	0
101年 10月	0	 1 	0	0	 2 	0	0	 105 	0
101年 11月	0	0	0	0	 3 	0	0	 90 	0
101年 12月	0	0	0	0	 2 	0	0	 79 	0
102年	 1 	 13 	0	 1 	 19 	0	 1 	 1,703 	 3 
102年 1月	0	 1 	0	0	0	0	0	 98 	0
102年 2月	0	 1 	0	0	 2 	0	0	 122 	 1 
102年 3月	0	 4 	0	0	 3 	0	 1 	 122 	 1 
102年 4月	0	 3 	0	0	0	0	0	 101 	0
102年 5月	0	0	0	0	 3 	0	0	 123 	 1 
102年 6月	 1 	0	0	0	 1 	0	0	 115 	0
102年 7月	0	0	0	 1 	0	0	0	 181 	0
102年 8月	0	 1 	0	0	 1 	0	0	 172 	0
102年 9月	0	 2 	0	0	 1 	0	0	 162 	0
102年 10月	0	0	0	0	 4 	0	0	 181 	0
102年 11月	0	0	0	0	 3 	0	0	 163 	0
102年 12月	0	 1 	0	0	 1 	0	0	 163 	0
103年	 1 	 4 	0	0	 36 	0	 1 	 2,019 	 1 
103年 1月	0	0	0	0	 2 	0	0	 160 	0
