"","警察機關查獲毒品嫌疑犯人數─按年齡別分"
"","總計 / 年齡別總計 ","總計 /  0- 5歲 ","總計 /  6-11歲 ","總計 / 12-17歲 ","總計 / 18-23歲 ","總計 / 24-29歲 ","總計 / 30-39歲 ","總計 / 40-49歲 ","總計 / 50-59歲 ","總計 / 60-64歲 ","總計 / 65-69歲 ","總計 / 70歲以上 ","總計 / 不詳 ","男 / 年齡別總計 ","男 /  0- 5歲 ","男 /  6-11歲 ","男 / 12-17歲 ","男 / 18-23歲 ","男 / 24-29歲 ","男 / 30-39歲 ","男 / 40-49歲 ","男 / 50-59歲 ","男 / 60-64歲 ","男 / 65-69歲 ","男 / 70歲以上 ","男 / 不詳 ","女 / 年齡別總計 ","女 /  0- 5歲 ","女 /  6-11歲 ","女 / 12-17歲 ","女 / 18-23歲 ","女 / 24-29歲 ","女 / 30-39歲 ","女 / 40-49歲 ","女 / 50-59歲 ","女 / 60-64歲 ","女 / 65-69歲 ","女 / 70歲以上 ","女 / 不詳 "
"90年 1月","  3,728","      -","      -","    116","    891","  1,121","  1,081","    405","     82","     19","      -","     12","      1","  3,229","      -","      -","     76","    693","  1,001","    992","    365","     72","     19","      -","     10","      1","    499","      -","      -","     40","    198","    120","     89","     40","     10","      -","      -","      2","      -"
"90年 2月","  2,333","      -","      -","     63","    514","    738","    695","    267","     44","      6","      -","      6","      -","  2,041","      -","      -","     44","    409","    653","    632","    250","     43","      5","      -","      5","      -","    292","      -","      -","     19","    105","     85","     63","     17","      1","      1","      -","      1","      -"
"90年 3月","  2,888","      -","      -","     80","    661","    909","    841","    338","     49","      4","      -","      6","      -","  2,506","      -","      -","     56","    523","    792","    771","    309","     45","      4","      -","      6","      -","    382","      -","      -","     24","    138","    117","     70","     29","      4","      -","      -","      -","      -"
"90年 4月","  2,895","      -","      -","     81","    683","    921","    807","    338","     49","      5","      -","     11","      -","  2,499","      -","      -","     47","    531","    815","    736","    311","     43","      5","      -","     11","      -","    396","      -","      -","     34","    152","    106","     71","     27","      6","      -","      -","      -","      -"
"90年 5月","  3,302","      -","      -","     98","    732","  1,051","    992","    359","     53","      4","      -","     12","      1","  2,796","      -","      -","     58","    547","    901","    893","    332","     49","      3","      -","     12","      1","    506","      -","      -","     40","    185","    150","     99","     27","      4","      1","      -","      -","      -"
"90年 6月","  2,718","      -","      -","     72","    618","    848","    811","    313","     41","      7","      -","      8","      -","  2,352","      -","      -","     45","    475","    748","    748","    281","     40","      7","      -","      8","      -","    366","      -","      -","     27","    143","    100","     63","     32","      1","      -","      -","      -","      -"
"90年 7月","  2,697","      -","      -","     78","    578","    868","    818","    293","     47","      9","      -","      4","      2","  2,333","      -","      -","     51","    423","    776","    756","    268","     45","      9","      -","      3","      2","    364","      -","      -","     27","    155","     92","     62","     25","      2","      -","      -","      1","      -"
"90年 8月","  3,238","      -","      -","     69","    700","  1,045","  1,006","    352","     53","      9","      -","      4","      -","  2,759","      -","      -","     43","    523","    896","    912","    324","     48","      9","      -","      4","      -","    479","      -","      -","     26","    177","    149","     94","     28","      5","      -","      -","      -","      -"
"90年 9月","  2,763","      -","      -","     69","    599","    854","    855","    333","     47","      6","      -","      -","      -","  2,371","      -","      -","     36","    462","    750","    772","    301","     45","      5","      -","      -","      -","    392","      -","      -","     33","    137","    104","     83","     32","      2","      1","      -","      -","      -"
"90年 10月","  2,903","      -","      -","     73","    694","    885","    865","    323","     56","      5","      -","      2","      -","  2,435","      -","      -","     43","    504","    753","    778","    296","     54","      5","      -","      2","      -","    468","      -","      -","     30","    190","    132","     87","     27","      2","      -","      -","      -","      -"
