時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
104年 6月	0	0	0	 1 	0	0	 1 	 1 	 4 
104年 7月	0	0	0	0	0	0	0	 2 	 4 
104年 8月	0	0	0	 1 	0	0	0	 2 	 10 
104年 9月	0	0	0	 1 	0	0	0	 5 	 8 
104年 10月	0	0	0	 1 	0	0	0	 5 	 5 
104年 11月	0	0	0	0	0	0	0	 6 	 9 
104年 12月	0	0	0	 1 	0	0	0	 2 	 6 
105年	 6 	0	0	 4 	0	0	0	 50 	 107 
105年 1月	0	0	0	 1 	0	0	0	 3 	 13 
105年 2月	0	0	0	0	0	0	0	 6 	 6 
105年 3月	 1 	0	0	0	0	0	0	 1 	 8 
105年 4月	0	0	0	0	0	0	0	 6 	 12 
105年 5月	0	0	0	 1 	0	0	0	 5 	 11 
105年 6月	 3 	0	0	0	0	0	0	 4 	 10 
105年 7月	 1 	0	0	 1 	0	0	0	 10 	 7 
105年 8月	 1 	0	0	0	0	0	0	 1 	 12 
105年 9月	0	0	0	0	0	0	0	 3 	 6 
105年 10月	0	0	0	 1 	0	0	0	 3 	 14 
105年 11月	0	0	0	0	0	0	0	 3 	 7 
105年 12月	0	0	0	0	0	0	0	 5 	 1 
