時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
99年 6月	0	 1 	0	0	0	0	0	 24 	0
99年 7月	0	0	0	0	0	0	0	 25 	0
99年 8月	0	0	0	0	0	0	 1 	 18 	0
99年 9月	0	0	0	0	 3 	0	0	 33 	0
99年 10月	0	0	0	0	0	0	0	 31 	0
99年 11月	0	0	0	0	0	0	0	 11 	0
99年 12月	0	0	0	0	0	0	0	 23 	0
100年	0	 1 	0	0	 4 	0	 4 	 265 	0
100年 1月	0	0	0	0	 2 	0	0	 30 	0
100年 2月	0	0	0	0	0	0	0	 17 	0
100年 3月	0	0	0	0	0	0	0	 14 	0
100年 4月	0	0	0	0	0	0	0	 22 	0
100年 5月	0	0	0	0	0	0	 1 	 13 	0
100年 6月	0	0	0	0	0	0	0	 27 	0
100年 7月	0	0	0	0	0	0	0	 16 	0
100年 8月	0	0	0	0	0	0	0	 33 	0
100年 9月	0	0	0	0	0	0	 1 	 27 	0
100年 10月	0	 1 	0	0	 1 	0	0	 27 	0
100年 11月	0	0	0	0	0	0	0	 22 	0
100年 12月	0	0	0	0	 1 	0	 2 	 17 	0
101年	0	 3 	0	0	0	0	 9 	 206 	0
101年 1月	0	0	0	0	0	0	0	 26 	0
101年 2月	0	0	0	0	0	0	0	 14 	0
101年 3月	0	 1 	0	0	0	0	0	 22 	0
101年 4月	0	0	0	0	0	0	0	 16 	0
101年 5月	0	0	0	0	0	0	 1 	 17 	0
101年 6月	0	 1 	0	0	0	0	0	 12 	0
101年 7月	0	0	0	0	0	0	0	 20 	0
101年 8月	0	0	0	0	0	0	 1 	 11 	0
101年 9月	0	 1 	0	0	0	0	 2 	 19 	0
101年 10月	0	0	0	0	0	0	 1 	 26 	0
101年 11月	0	0	0	0	0	0	 3 	 13 	0
101年 12月	0	0	0	0	0	0	 1 	 10 	0
102年	0	 2 	0	0	0	0	 6 	 225 	0
102年 1月	0	0	0	0	0	0	 1 	 19 	0
102年 2月	0	0	0	0	0	0	 1 	 13 	0
102年 3月	0	0	0	0	0	0	 1 	 15 	0
102年 4月	0	0	0	0	0	0	0	 12 	0
102年 5月	0	0	0	0	0	0	0	 17 	0
102年 6月	0	 1 	0	0	0	0	 1 	 24 	0
102年 7月	0	0	0	0	0	0	 1 	 23 	0
102年 8月	0	0	0	0	0	0	0	 27 	0
102年 9月	0	0	0	0	0	0	0	 22 	0
102年 10月	0	 1 	0	0	0	0	0	 26 	0
102年 11月	0	0	0	0	0	0	 1 	 20 	0
102年 12月	0	0	0	0	0	0	0	 7 	0
103年	0	0	0	0	 1 	0	 24 	 277 	0
103年 1月	0	0	0	0	0	0	 4 	 26 	0
103年 2月	0	0	0	0	 1 	0	 4 	 19 	0
103年 3月	0	0	0	0	0	0	 1 	 16 	0
103年 4月	0	0	0	0	0	0	0	 21 	0
103年 5月	0	0	0	0	0	0	 1 	 27 	0
103年 6月	0	0	0	0	0	0	0	 24 	0
103年 7月	0	0	0	0	0	0	 3 	 24 	0
103年 8月	0	0	0	0	0	0	 2 	 29 	0
103年 9月	0	0	0	0	0	0	 3 	 24 	0
103年 10月	0	0	0	0	0	0	 4 	 30 	0
103年 11月	0	0	0	0	0	0	 2 	 20 	0
103年 12月	0	0	0	0	0	0	0	 17 	0
104年	 1 	 2 	0	0	 1 	0	 12 	 281 	0
104年 1月	0	0	0	0	0	0	 2 	 26 	0
104年 2月	0	0	0	0	0	0	 1 	 22 	0
104年 3月	0	0	0	0	0	0	 1 	 20 	0
104年 4月	0	0	0	0	0	0	0	 22 	0
104年 5月	0	0	0	0	0	0	0	 18 	0
104年 6月	0	0	0	0	 1 	0	 1 	 22 	0
104年 7月	0	 2 	0	0	0	0	 3 	 26 	0
104年 8月	0	0	0	0	0	0	0	 34 	0
104年 9月	 1 	0	0	0	0	0	 1 	 25 	0
104年 10月	0	0	0	0	0	0	 2 	 23 	0
104年 11月	0	0	0	0	0	0	0	 25 	0
104年 12月	0	0	0	0	0	0	 1 	 18 	0
105年	0	 6 	0	0	0	0	 8 	 323 	0
105年 1月	0	0	0	0	0	0	0	 23 	0
105年 2月	0	 1 	0	0	0	0	 2 	 22 	0
105年 3月	0	0	0	0	0	0	 1 	 27 	0
105年 4月	0	 3 	0	0	0	0	0	 23 	0
105年 5月	0	 1 	0	0	0	0	0	 29 	0
105年 6月	0	 1 	0	0	0	0	0	 33 	0
105年 7月	0	0	0	0	0	0	0	 22 	0
105年 8月	0	0	0	0	0	0	0	 30 	0
105年 9月	0	0	0	0	0	0	 2 	 31 	0
105年 10月	0	0	0	0	0	0	0	 30 	0
105年 11月	0	0	0	0	0	0	0	 25 	0
