"","警察機關查獲毒品嫌疑犯人數─按職業狀況別分"
"","總計 / 職業別總計 ","總計 / 民意代表、主管及經理人員 ","總計 / 專業人員 ","總計 / 技術員及助理專業人員 ","總計 / 事務支援人員 ","總計 / 服務(不含保安)工作人員 ","總計 / 銷售及展示工作人員 ","總計 / 農、林、漁、牧業生產人員 ","總計 / 保安服務工作人員(含軍人) ","總計 / 技藝(技術)有關工作人員 ","總計 / 駕駛及移運設備操作人員 ","總計 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","總計 / 基層技術工及勞力工 ","總計 / 學生 ","總計 / 無職 ","總計 / 其他(含不詳) ","男 / 職業別總計 ","男 / 民意代表、主管及經理人員 ","男 / 專業人員 ","男 / 技術員及助理專業人員 ","男 / 事務支援人員 ","男 / 服務(不含保安)工作人員 ","男 / 銷售及展示工作人員 ","男 / 農、林、漁、牧業生產人員 ","男 / 保安服務工作人員(含軍人) ","男 / 技藝(技術)有關工作人員 ","男 / 駕駛及移運設備操作人員 ","男 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","男 / 基層技術工及勞力工 ","男 / 學生 ","男 / 無職 ","男 / 其他(含不詳) ","女 / 職業別總計 ","女 / 民意代表、主管及經理人員 ","女 / 專業人員 ","女 / 技術員及助理專業人員 ","女 / 事務支援人員 ","女 / 服務(不含保安)工作人員 ","女 / 銷售及展示工作人員 ","女 / 農、林、漁、牧業生產人員 ","女 / 保安服務工作人員(含軍人) ","女 / 技藝(技術)有關工作人員 ","女 / 駕駛及移運設備操作人員 ","女 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","女 / 基層技術工及勞力工 ","女 / 學生 ","女 / 無職 ","女 / 其他(含不詳) "
"92年 3月","  2,417","     25","      3","     25","     12","    109","     48","     47","     43","    224","     43","     73","    193","     73","  1,461","     38","  2,036","     22","      3","     23","      8","     80","     45","     47","     43","    216","     43","     68","    182","     50","  1,173","     33","    381","      3","      -","      2","      4","     29","      3","      -","      -","      8","      -","      5","     11","     23","    288","      5"
"92年 4月","  2,657","     17","      6","     25","     20","     99","     64","     66","     14","    264","     45","     82","    204","     51","  1,676","     24","  2,253","     17","      4","     24","     12","     69","     56","     65","     14","    253","     45","     76","    201","     38","  1,360","     19","    404","      -","      2","      1","      8","     30","      8","      1","      -","     11","      -","      6","      3","     13","    316","      5"
"92年 5月","  2,621","     24","      1","     17","     16","    130","     66","     64","     21","    222","     38","     91","    228","     67","  1,623","     13","  2,201","     19","      1","     13","     10","     86","     60","     62","     21","    220","     38","     89","    220","     40","  1,310","     12","    420","      5","      -","      4","      6","     44","      6","      2","      -","      2","      -","      2","      8","     27","    313","      1"
"92年 6月","  2,410","     27","      2","     19","      6","    116","     58","     37","     14","    218","     48","     81","    188","     33","  1,538","     25","  2,000","     23","      2","     17","      5","     80","     48","     35","     14","    213","     48","     79","    181","     23","  1,213","     19","    410","      4","      -","      2","      1","     36","     10","      2","      -","      5","      -","      2","      7","     10","    325","      6"
"92年 7月","  2,289","     12","      2","     28","      8","    103","     65","     51","     22","    198","     39","     63","    216","     39","  1,411","     32","  1,954","     11","      2","     26","      6","     73","     57","     51","     22","    193","     39","     61","    208","     21","  1,158","     26","    335","      1","      -","      2","      2","     30","      8","      -","      -","      5","      -","      2","      8","     18","    253","      6"
"92年 8月","  2,328","     12","      3","     15","      9","     92","     54","     60","     13","    199","     32","     41","    198","     50","  1,525","     25","  1,954","     10","      2","     13","      7","     63","     49","     58","     13","    195","     32","     38","    188","     33","  1,234","     19","    374","      2","      1","      2","      2","     29","      5","      2","      -","      4","      -","      3","     10","     17","    291","      6"
"92年 9月","  2,254","     24","      3","     23","      7","    120","     53","     45","     19","    250","     29","     75","    208","     45","  1,335","     18","  1,922","     22","      3","     22","      5","     82","     47","     42","     19","    245","     29","     75","    196","     28","  1,093","     14","    332","      2","      -","      1","      2","     38","      6","      3","      -","      5","      -","      -","     12","     17","    242","      4"
"92年 10月","  2,480","     21","      4","     26","     11","    117","     55","     49","     33","    218","     39","     84","    213","     63","  1,518","     29","  2,116","     20","      -","     24","      8","     80","     45","     48","     33","    209","     39","     77","    203","     52","  1,255","     23","    364","      1","      4","      2","      3","     37","     10","      1","      -","      9","      -","      7","     10","     11","    263","      6"
"92年 11月","  2,254","     16","     14","     33","     16","    118","     40","     47","     23","    200","     39","     63","    199","     54","  1,363","     29","  1,884","     15","      6","     29","      9","     85","     34","     47","     22","    196","     39","     63","    183","     39","  1,090","     27","    370","      1","      8","      4","      7","     33","      6","      -","      1","      4","      -","      -","     16","     15","    273","      2"
"92年 12月","  2,091","     17","      5","     11","      7","     99","     55","     45","     17","    193","     43","     68","    201","     30","  1,271","     29","  1,752","     16","      2","     11","      2","     67","     46","     44","     17","    189","     43","     68","    190","     18","  1,017","     22","    339","      1","      3","      -","      5","     32","      9","      1","      -","      4","      -","      -","     11","     12","    254","      7"
"93年"," 40,136","    295","     51","    329","    131","  1,858","    963","    891","    177","  3,906","    624","  1,246","  4,257","    470"," 24,462","    476"," 34,178","    276","     38","    284","     80","  1,307","    814","    875","    177","  3,794","    622","  1,210","  4,059","    307"," 19,932","    403","  5,958","     19","     13","     45","     51","    551","    149","     16","      -","    112","      2","     36","    198","    163","  4,530","     73"
"93年 1月","  3,038","     26","      3","     29","     13","    162","     85","     52","     18","    316","     41","     96","    285","     50","  1,832","     30","  2,568","     24","      2","     24","      6","    101","     73","     51","     18","    303","     41","     94","    274","     39","  1,490","     28","    470","      2","      1","      5","      7","     61","     12","      1","      -","     13","      -","      2","     11","     11","    342","      2"
"93年 2月","  2,693","     26","      1","     23","     14","    136","     58","     59","     12","    208","     56","    102","    256","     41","  1,664","     37","  2,326","     25","      1","     20","      9","     97","     50","     58","     12","    205","     56","     96","    249","     28","  1,389","     31","    367","      1","      -","      3","      5","     39","      8","      1","      -","      3","      -","      6","      7","     13","    275","      6"
"93年 3月","  2,649","     19","      3","     13","      9","    104","     55","     74","     16","    229","     38","     79","    300","     35","  1,636","     39","  2,259","     18","      2","      9","      4","     76","     49","     74","     16","    224","     38","     78","    281","     25","  1,333","     32","    390","      1","      1","      4","      5","     28","      6","      -","      -","      5","      -","      1","     19","     10","    303","      7"
"93年 4月","  2,751","     19","      5","     23","      7","    117","     75","     57","      6","    266","     48","     99","    271","     36","  1,693","     29","  2,381","     18","      3","     23","      5","     90","     66","     55","      6","    257","     47","     97","    260","     21","  1,407","     26","    370","      1","      2","      -","      2","     27","      9","      2","      -","      9","      1","      2","     11","     15","    286","      3"
"93年 5月","  2,948","     19","      1","     24","      7","    116","     82","     66","     13","    320","     39","    103","    298","     34","  1,796","     30","  2,527","     17","      1","     19","      7","     78","     66","     66","     13","    315","     39","    101","    281","     24","  1,472","     28","    421","      2","      -","      5","      -","     38","     16","      -","      -","      5","      -","      2","     17","     10","    324","      2"
"93年 6月","  2,884","     23","      4","     26","      5","    130","     86","     75","     14","    290","     54","    106","    328","     28","  1,668","     47","  2,489","     21","      4","     21","      5","     94","     73","     71","     14","    282","     54","    105","    315","     20","  1,366","     44","    395","      2","      -","      5","      -","     36","     13","      4","      -","      8","      -","      1","     13","      8","    302","      3"
"93年 7月","  3,950","     31","      1","     26","     11","    208","     77","     83","     21","    349","     57","    114","    413","     52","  2,464","     43","  3,304","     30","      1","     24","      6","    151","     68","     80","     21","    340","     57","    111","    394","     30","  1,957","     34","    646","      1","      -","      2","      5","     57","      9","      3","      -","      9","      -","      3","     19","     22","    507","      9"
"93年 8月","  3,995","     28","      7","     38","     14","    162","     94","     76","     19","    368","     54","     84","    449","     56","  2,506","     40","  3,340","     25","      6","     33","      9","    112","     74","     75","     19","    362","     54","     82","    428","     34","  1,993","     34","    655","      3","      1","      5","      5","     50","     20","      1","      -","      6","      -","      2","     21","     22","    513","      6"
"93年 9月","  3,745","     23","      6","     28","     13","    190","    101","     91","     19","    364","     51","    105","    414","     37","  2,258","     45","  3,187","     22","      3","     26","      8","    124","     82","     90","     19","    352","     50","    102","    396","     25","  1,852","     36","    558","      1","      3","      2","      5","     66","     19","      1","      -","     12","      1","      3","     18","     12","    406","      9"
"93年 10月","  3,735","     32","      8","     31","     14","    178","     86","     98","      7","    372","     48","    120","    431","     39","  2,207","     64","  3,203","     28","      6","     27","      7","    136","     73","     96","      7","    360","     48","    115","    409","     26","  1,815","     50","    532","      4","      2","      4","      7","     42","     13","      2","      -","     12","      -","      5","     22","     13","    392","     14"
"93年 11月","  4,330","     29","     10","     35","     16","    196","    103","     90","     18","    459","     77","    132","    438","     35","  2,658","     34","  3,648","     28","      7","     28","      8","    136","     90","     89","     18","    442","     77","    126","    418","     19","  2,133","     29","    682","      1","      3","      7","      8","     60","     13","      1","      -","     17","      -","      6","     20","     16","    525","      5"
"93年 12月","  3,418","     20","      2","     33","      8","    159","     61","     70","     14","    365","     61","    106","    374","     27","  2,080","     38","  2,946","     20","      2","     30","      6","    112","     50","     70","     14","    352","     61","    103","    354","     16","  1,725","     31","    472","      -","      -","      3","      2","     47","     11","      -","      -","     13","      -","      3","     20","     11","    355","      7"
"94年"," 51,376","    422","     53","    331","    133","  2,759","  1,036","  1,099","    220","  5,290","    663","  1,447","  6,289","    379"," 30,418","    837"," 43,188","    392","     43","    295","     88","  1,899","    865","  1,074","    219","  5,095","    661","  1,397","  5,986","    249"," 24,234","    691","  8,188","     30","     10","     36","     45","    860","    171","     25","      1","    195","      2","     50","    303","    130","  6,184","    146"
"94年 1月","  5,612","     33","     10","     45","     16","    271","    118","    113","     17","    548","     79","    137","    656","     54","  3,443","     72","  4,750","     32","      7","     39","     11","    188","    103","    110","     17","    526","     79","    133","    620","     41","  2,784","     60","    862","      1","      3","      6","      5","     83","     15","      3","      -","     22","      -","      4","     36","     13","    659","     12"
"94年 2月","  3,708","     22","      9","     31","     13","    154","     68","     78","     23","    394","     57","    112","    475","     27","  2,201","     44","  3,106","     20","      6","     31","      9","    102","     57","     77","     22","    367","     57","    106","    450","     20","  1,745","     37","    602","      2","      3","      -","      4","     52","     11","      1","      1","     27","      -","      6","     25","      7","    456","      7"
"94年 3月","  3,978","     23","      4","     22","      7","    188","     73","     86","     21","    415","     57","    117","    411","     27","  2,460","     67","  3,373","     22","      4","     18","      4","    133","     57","     85","     21","    399","     57","    113","    395","     17","  1,989","     59","    605","      1","      -","      4","      3","     55","     16","      1","      -","     16","      -","      4","     16","     10","    471","      8"
"94年 4月","  4,042","     53","      6","     26","     11","    195","    102","    100","     30","    451","     50","    129","    468","     42","  2,312","     67","  3,446","     49","      6","     23","      8","    134","     79","     98","     30","    436","     50","    128","    446","     30","  1,867","     62","    596","      4","      -","      3","      3","     61","     23","      2","      -","     15","      -","      1","     22","     12","    445","      5"
"94年 5月","  4,460","     34","      2","     26","     10","    240","    107","     95","     26","    478","     62","    141","    501","     44","  2,611","     83","  3,723","     31","      2","     19","      6","    159","     91","     95","     26","    455","     62","    139","    484","     26","  2,067","     61","    737","      3","      -","      7","      4","     81","     16","      -","      -","     23","      -","      2","     17","     18","    544","     22"
"94年 6月","  4,090","     34","      3","     25","     15","    196","     76","     87","     16","    408","     62","    141","    525","     30","  2,399","     73","  3,453","     32","      3","     22","      8","    134","     62","     85","     16","    392","     62","    136","    509","     21","  1,910","     61","    637","      2","      -","      3","      7","     62","     14","      2","      -","     16","      -","      5","     16","      9","    489","     12"
"94年 7月","  4,825","     40","      3","     35","     14","    281","    104","    110","     20","    450","     61","    124","    606","     29","  2,869","     79","  4,029","     38","      2","     31","     10","    188","     82","    107","     20","    435","     60","    121","    575","     10","  2,286","     64","    796","      2","      1","      4","      4","     93","     22","      3","      -","     15","      1","      3","     31","     19","    583","     15"
"94年 8月","  5,166","     50","      5","     29","     15","    341","     76","    105","     16","    497","     49","    140","    665","     38","  3,051","     89","  4,303","     49","      3","     25","     11","    237","     67","    100","     16","    484","     49","    134","    627","     27","  2,403","     71","    863","      1","      2","      4","      4","    104","      9","      5","      -","     13","      -","      6","     38","     11","    648","     18"
"94年 9月","  4,638","     42","      2","     27","      9","    255","     95","    101","     18","    440","     58","    138","    609","     27","  2,737","     80","  3,909","     39","      2","     27","      6","    180","     80","     99","     18","    428","     58","    129","    573","     21","  2,181","     68","    729","      3","      -","      -","      3","     75","     15","      2","      -","     12","      -","      9","     36","      6","    556","     12"
"94年 10月","  4,239","     39","      6","     21","     13","    245","    108","     67","     13","    474","     48","    109","    532","     24","  2,474","     66","  3,519","     34","      5","     20","      8","    165","     91","     65","     13","    463","     48","    106","    509","     13","  1,929","     50","    720","      5","      1","      1","      5","     80","     17","      2","      -","     11","      -","      3","     23","     11","    545","     16"
"94年 11月","  3,710","     21","      1","     26","      4","    226","     62","     88","     11","    389","     42","     88","    464","     24","  2,189","     75","  3,132","     18","      1","     24","      2","    156","     53","     85","     11","    376","     41","     83","    449","     15","  1,756","     62","    578","      3","      -","      2","      2","     70","      9","      3","      -","     13","      1","      5","     15","      9","    433","     13"
"94年 12月","  2,908","     31","      2","     18","      6","    167","     47","     69","      9","    346","     38","     71","    377","     13","  1,672","     42","  2,445","     28","      2","     16","      5","    123","     43","     68","      9","    334","     38","     69","    349","      8","  1,317","     36","    463","      3","      -","      2","      1","     44","      4","      1","      -","     12","      -","      2","     28","      5","    355","      6"
"95年"," 47,257","    303","     70","    274","     98","  3,003","    859","    978","    207","  4,969","    601","  1,232","  6,853","    357"," 26,493","    960"," 39,461","    291","     51","    238","     63","  2,105","    687","    952","    206","  4,741","    598","  1,162","  6,510","    240"," 20,847","    770","  7,796","     12","     19","     36","     35","    898","    172","     26","      1","    228","      3","     70","    343","    117","  5,646","    190"
"95年 1月","  4,772","     41","      6","     34","      7","    271","     74","     93","     20","    519","     65","    107","    618","     34","  2,806","     77","  4,000","     40","      4","     29","      4","    192","     64","     89","     20","    498","     65","    100","    592","     20","  2,223","     60","    772","      1","      2","      5","      3","     79","     10","      4","      -","     21","      -","      7","     26","     14","    583","     17"
"95年 2月","  3,473","     24","      5","     12","      5","    235","     62","     77","     10","    343","     42","     70","    498","     22","  2,005","     63","  2,881","     23","      5","      9","      3","    162","     50","     75","     10","    329","     42","     61","    474","     15","  1,569","     54","    592","      1","      -","      3","      2","     73","     12","      2","      -","     14","      -","      9","     24","      7","    436","      9"
"95年 3月","  3,538","     18","      5","     22","      3","    199","     82","     68","      8","    395","     53","     83","    414","     28","  2,099","     61","  2,940","     17","      4","     19","      2","    139","     62","     67","      8","    369","     53","     74","    395","     19","  1,662","     50","    598","      1","      1","      3","      1","     60","     20","      1","      -","     26","      -","      9","     19","      9","    437","     11"
"95年 4月","  3,986","     22","      6","     24","      6","    255","     78","     74","     19","    389","     44","    102","    516","     50","  2,313","     88","  3,304","     21","      1","     24","      3","    180","     60","     74","     19","    370","     44","     98","    484","     37","  1,822","     67","    682","      1","      5","      -","      3","     75","     18","      -","      -","     19","      -","      4","     32","     13","    491","     21"
"95年 5月","  3,624","     33","      2","     16","      7","    273","     71","     85","     27","    362","     50","     94","    463","     42","  2,016","     83","  2,977","     29","      2","     16","      4","    196","     56","     83","     27","    345","     50","     90","    437","     26","  1,548","     68","    647","      4","      -","      -","      3","     77","     15","      2","      -","     17","      -","      4","     26","     16","    468","     15"
"95年 6月","  3,292","     17","     11","     24","      7","    207","     67","     56","     24","    302","     39","     78","    456","     24","  1,917","     63","  2,742","     17","     10","     22","      3","    142","     53","     54","     24","    294","     39","     74","    435","     20","  1,501","     54","    550","      -","      1","      2","      4","     65","     14","      2","      -","      8","      -","      4","     21","      4","    416","      9"
"95年 7月","  3,982","     29","      4","     26","      8","    248","     76","     82","     16","    381","     56","    121","    568","     22","  2,281","     64","  3,297","     28","      3","     23","      5","    177","     59","     81","     16","    365","     56","    114","    531","     17","  1,775","     47","    685","      1","      1","      3","      3","     71","     17","      1","      -","     16","      -","      7","     37","      5","    506","     17"
"95年 8月","  5,419","     30","      9","     21","     14","    325","    102","    109","     25","    559","     70","    131","    835","     51","  3,030","    108","  4,508","     29","      6","     19","     11","    223","     77","    104","     25","    529","     69","    123","    800","     26","  2,380","     87","    911","      1","      3","      2","      3","    102","     25","      5","      -","     30","      1","      8","     35","     25","    650","     21"
"95年 9月","  3,866","     17","      7","     29","      8","    281","     57","    101","     10","    431","     34","    107","    587","     24","  2,088","     85","  3,244","     15","      6","     23","      5","    192","     54","     98","     10","    409","     34","    102","    553","     21","  1,657","     65","    622","      2","      1","      6","      3","     89","      3","      3","      -","     22","      -","      5","     34","      3","    431","     20"
"95年 10月","  3,590","     28","      3","     17","      9","    235","     54","     66","     14","    386","     63","     95","    622","     23","  1,903","     72","  3,014","     28","      2","     16","      6","    158","     44","     63","     13","    367","     62","     92","    585","     14","  1,503","     61","    576","      -","      1","      1","      3","     77","     10","      3","      1","     19","      1","      3","     37","      9","    400","     11"
"95年 11月","  4,242","     25","      9","     29","     19","    282","     75","     88","     12","    473","     42","    134","    684","     20","  2,237","    113","  3,633","     25","      6","     21","     15","    205","     57","     86","     12","    453","     41","    130","    656","     12","  1,829","     85","    609","      -","      3","      8","      4","     77","     18","      2","      -","     20","      1","      4","     28","      8","    408","     28"
"95年 12月","  3,473","     19","      3","     20","      5","    192","     61","     79","     22","    429","     43","    110","    592","     17","  1,798","     83","  2,921","     19","      2","     17","      2","    139","     51","     78","     22","    413","     43","    104","    568","     13","  1,378","     72","    552","      -","      1","      3","      3","     53","     10","      1","      -","     16","      -","      6","     24","      4","    420","     11"
"96年"," 53,681","    339","    102","    275","     73","  3,860","    926","  1,135","    146","  6,326","    695","  1,906","  9,786","    392"," 26,475","  1,245"," 45,663","    322","     64","    246","     42","  2,772","    682","  1,115","    146","  6,027","    690","  1,837","  9,399","    291"," 20,981","  1,049","  8,018","     17","     38","     29","     31","  1,088","    244","     20","      -","    299","      5","     69","    387","    101","  5,494","    196"
"96年 1月","  3,425","     20","      7","     21","      8","    233","     83","     82","      9","    376","     61","    114","    611","     22","  1,680","     98","  2,891","     19","      6","     19","      4","    170","     61","     81","      9","    363","     61","    113","    583","     15","  1,309","     78","    534","      1","      1","      2","      4","     63","     22","      1","      -","     13","      -","      1","     28","      7","    371","     20"
"96年 2月","  5,420","     40","      9","     29","      7","    368","    110","    111","     18","    603","     89","    193","    988","     29","  2,714","    112","  4,572","     39","      6","     25","      5","    254","     84","    109","     18","    576","     89","    183","    938","     23","  2,129","     94","    848","      1","      3","      4","      2","    114","     26","      2","      -","     27","      -","     10","     50","      6","    585","     18"
"96年 3月","  4,357","     32","      8","     26","     11","    257","     91","    104","     17","    483","     64","    160","    796","     33","  2,173","    102","  3,666","     32","      4","     24","      6","    185","     65","    100","     17","    458","     63","    158","    770","     25","  1,673","     86","    691","      -","      4","      2","      5","     72","     26","      4","      -","     25","      1","      2","     26","      8","    500","     16"
"96年 4月","  3,575","     28","      4","     19","      7","    241","     62","     71","     18","    422","     39","    109","    662","     27","  1,777","     89","  3,025","     28","      3","     18","      4","    169","     42","     71","     18","    406","     39","    105","    631","     20","  1,391","     80","    550","      -","      1","      1","      3","     72","     20","      -","      -","     16","      -","      4","     31","      7","    386","      9"
"96年 5月","  4,255","     35","      4","     22","      6","    294","     67","     93","     15","    511","     38","    132","    711","     42","  2,202","     83","  3,561","     34","      2","     18","      3","    198","     51","     91","     15","    486","     38","    125","    685","     34","  1,709","     72","    694","      1","      2","      4","      3","     96","     16","      2","      -","     25","      -","      7","     26","      8","    493","     11"
"96年 6月","  3,667","     15","      8","     17","      5","    279","     65","     75","     11","    446","     51","    143","    653","     28","  1,780","     91","  3,099","     15","      4","     17","      3","    198","     50","     71","     11","    425","     51","    140","    628","     22","  1,389","     75","    568","      -","      4","      -","      2","     81","     15","      4","      -","     21","      -","      3","     25","      6","    391","     16"
"96年 7月","  5,347","     23","     17","     31","      6","    356","     76","    112","     11","    625","     65","    216","    957","     39","  2,719","     94","  4,473","     22","      9","     26","      3","    246","     52","    110","     11","    602","     64","    206","    914","     28","  2,098","     82","    874","      1","      8","      5","      3","    110","     24","      2","      -","     23","      1","     10","     43","     11","    621","     12"
"96年 8月","  5,552","     35","     14","     28","      2","    415","     75","    138","     12","    631","     77","    216","  1,038","     46","  2,710","    115","  4,772","     32","      9","     26","      1","    298","     54","    137","     12","    603","     75","    205","    996","     32","  2,202","     90","    780","      3","      5","      2","      1","    117","     21","      1","      -","     28","      2","     11","     42","     14","    508","     25"
"96年 9月","  4,750","     25","     10","     13","      7","    359","     82","     95","     16","    598","     56","    197","    886","     34","  2,270","    102","  4,077","     22","      8","     12","      4","    252","     62","     94","     16","    562","     56","    189","    856","     21","  1,837","     86","    673","      3","      2","      1","      3","    107","     20","      1","      -","     36","      -","      8","     30","     13","    433","     16"
"96年 10月","  4,902","     27","      8","     26","      7","    384","     67","     98","      3","    585","     66","    143","    959","     27","  2,421","     81","  4,226","     26","      5","     24","      6","    286","     52","     98","      3","    559","     66","    139","    926","     18","  1,946","     72","    676","      1","      3","      2","      1","     98","     15","      -","      -","     26","      -","      4","     33","      9","    475","      9"
