時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
97年 9月	0	0	0	0	 23 	0	 1 	 630 	0
97年 10月	0	0	0	0	 9 	0	0	 639 	0
97年 11月	0	0	0	0	 11 	0	0	 479 	0
97年 12月	0	0	0	0	 12 	0	 2 	 613 	0
98年	 3 	0	0	 3 	 59 	0	 24 	 6,268 	0
98年 1月	0	0	0	0	 2 	0	0	 688 	0
98年 2月	0	0	0	 1 	 4 	0	0	 538 	0
98年 3月	0	0	0	0	 7 	0	 1 	 642 	0
98年 4月	0	0	0	0	 4 	0	0	 582 	0
98年 5月	0	0	0	 1 	 7 	0	 4 	 596 	0
98年 6月	0	0	0	0	 6 	0	 4 	 537 	0
98年 7月	0	0	0	0	 1 	0	 7 	 489 	0
98年 8月	0	0	0	 1 	 4 	0	 1 	 492 	0
98年 9月	 1 	0	0	0	 2 	0	0	 407 	0
98年 10月	0	0	0	0	 10 	0	 3 	 513 	0
98年 11月	0	0	0	0	 2 	0	 2 	 427 	0
98年 12月	 2 	0	0	0	 10 	0	 2 	 357 	0
99年	0	 66 	0	0	 61 	0	 24 	 5,385 	0
99年 1月	0	0	0	0	 4 	0	 2 	 454 	0
99年 2月	0	0	0	0	0	0	0	 284 	0
99年 3月	0	0	0	0	 10 	0	 6 	 623 	0
99年 4月	0	 50 	0	0	 4 	0	0	 383 	0
99年 5月	0	 4 	0	0	 4 	0	 1 	 490 	0
99年 6月	0	 2 	0	0	 4 	0	 3 	 461 	0
99年 7月	0	 1 	0	0	 4 	0	 2 	 487 	0
99年 8月	0	0	0	0	 7 	0	 5 	 488 	0
99年 9月	0	 1 	0	0	 5 	0	0	 462 	0
99年 10月	0	 4 	0	0	 6 	0	 2 	 484 	0
99年 11月	0	 4 	0	0	 7 	0	 2 	 422 	0
99年 12月	0	0	0	0	 6 	0	 1 	 347 	0
100年	0	 31 	0	 1 	 64 	0	 29 	 4,842 	0
100年 1月	0	0	0	0	 1 	0	 3 	 360 	0
100年 2月	0	 12 	0	0	 5 	0	 1 	 361 	0
100年 3月	0	 5 	0	 1 	 12 	0	 7 	 376 	0
100年 4月	0	0	0	0	 9 	0	 4 	 301 	0
100年 5月	0	 1 	0	0	 6 	0	0	 310 	0
100年 6月	0	 1 	0	0	 1 	0	 4 	 322 	0
100年 7月	0	 2 	0	0	0	0	0	 465 	0
100年 8月	0	0	0	0	 2 	0	 2 	 491 	0
100年 9月	0	 8 	0	0	 8 	0	 2 	 504 	0
100年 10月	0	0	0	0	 4 	0	 2 	 479 	0
100年 11月	0	 1 	0	0	 11 	0	 2 	 412 	0
100年 12月	0	 1 	0	0	 5 	0	 2 	 461 	0
101年	0	 11 	0	 2 	 57 	0	 27 	 3,928 	 1 
101年 1月	0	0	0	0	0	0	0	 272 	0
101年 2月	0	0	0	0	 3 	0	 1 	 393 	 1 
101年 3月	0	 2 	0	0	 14 	0	 5 	 322 	0
101年 4月	0	0	0	0	 4 	0	 3 	 394 	0
101年 5月	0	 1 	0	0	0	0	0	 372 	0
101年 6月	0	 1 	0	 1 	 1 	0	0	 304 	0
101年 7月	0	0	0	0	 8 	0	 1 	 275 	0
101年 8月	0	 1 	0	 1 	 7 	0	 5 	 373 	0
101年 9月	0	 5 	0	0	 10 	0	 2 	 354 	0
101年 10月	0	 1 	0	0	 2 	0	 4 	 277 	0
101年 11月	0	0	0	0	 3 	0	 4 	 303 	0
101年 12月	0	0	0	0	 5 	0	 2 	 289 	0
102年	0	 5 	0	 4 	 54 	0	 72 	 4,704 	0
102年 1月	0	0	0	0	 4 	0	 2 	 330 	0
102年 2月	0	0	0	0	 1 	0	 1 	 206 	0
102年 3月	0	0	0	 1 	 17 	0	 8 	 198 	0
102年 4月	0	 2 	0	0	 5 	0	 9 	 214 	0
102年 5月	0	0	0	0	 5 	0	 5 	 318 	0
102年 6月	0	0	0	0	 4 	0	 14 	 375 	0
102年 7月	0	0	0	0	 3 	0	 2 	 539 	0
102年 8月	0	0	0	0	 1 	0	0	 437 	0
102年 9月	0	 3 	0	 3 	 4 	0	 15 	 543 	0
102年 10月	0	0	0	0	 4 	0	 2 	 552 	0
102年 11月	0	0	0	0	 5 	0	 13 	 553 	0
102年 12月	0	0	0	0	 1 	0	 1 	 439 	0
103年	 2 	 2 	0	0	 21 	0	 91 	 5,129 	0
103年 1月	0	0	0	0	0	0	0	 440 	0
103年 2月	0	0	0	0	0	0	0	 263 	0
103年 3月	0	0	0	0	 5 	0	 22 	 343 	0
103年 4月	0	 1 	0	0	 1 	0	 1 	 288 	0
103年 5月	0	0	0	0	0	0	0	 281 	0
