時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
104年 3月	0	 1 	0	 1 	 12 	0	 13 	 657 	0
104年 4月	0	 1 	0	0	 1 	0	 2 	 703 	0
104年 5月	 1 	 1 	0	0	 4 	0	0	 554 	0
104年 6月	0	 6 	0	0	 3 	0	 11 	 538 	0
104年 7月	0	 1 	0	0	0	0	 3 	 560 	0
104年 8月	0	 3 	0	0	 5 	0	 7 	 547 	0
104年 9月	0	 2 	0	0	 3 	0	 1 	 611 	0
104年 10月	0	 3 	0	 1 	 5 	0	 4 	 572 	0
104年 11月	0	 1 	0	0	 6 	0	 3 	 651 	0
104年 12月	0	 2 	0	0	 2 	0	 1 	 598 	0
105年	 3 	 12 	0	 6 	 148 	0	 19 	 7,904 	0
105年 1月	 2 	 1 	0	0	 8 	0	0	 648 	0
105年 2月	0	 1 	0	0	 3 	0	 3 	 588 	0
105年 3月	0	 3 	0	0	 9 	0	 1 	 736 	0
105年 4月	0	 1 	0	0	 7 	0	 5 	 778 	0
105年 5月	 1 	0	0	 1 	 18 	0	 1 	 742 	0
105年 6月	0	0	0	 1 	 13 	0	 1 	 602 	0
105年 7月	0	 1 	0	0	 13 	0	0	 724 	0
105年 8月	0	0	0	0	 15 	0	 2 	 652 	0
105年 9月	0	 2 	0	 2 	 19 	0	0	 618 	0
105年 10月	0	 2 	0	0	 23 	0	 1 	 644 	0
105年 11月	0	 1 	0	 1 	 3 	0	 4 	 612 	0
105年 12月	0	0	0	 1 	 17 	0	 1 	 560 	0
