時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
102年 11月	0	0	0	 1 	 18 	 48 	0	0	0
102年 12月	0	0	 7 	 4 	 7 	 29 	 2 	0	0
103年	 12 	0	 41 	 29 	 233 	 710 	 38 	0	0
103年 1月	 2 	0	 4 	 2 	 11 	 76 	 5 	0	0
103年 2月	 2 	0	 5 	 2 	 6 	 75 	 2 	0	0
103年 3月	 3 	0	 4 	 2 	 16 	 61 	 2 	0	0
103年 4月	0	0	 5 	 5 	 24 	 70 	 1 	0	0
103年 5月	 1 	0	 2 	 4 	 20 	 74 	 1 	0	0
103年 6月	0	0	 4 	 3 	 21 	 46 	 1 	0	0
103年 7月	 1 	0	 3 	 3 	 35 	 53 	 6 	0	0
103年 8月	0	0	 1 	 2 	 25 	 69 	 11 	0	0
103年 9月	0	0	 7 	 2 	 31 	 66 	 3 	0	0
103年 10月	 2 	0	 2 	 3 	 14 	 39 	 2 	0	0
103年 11月	0	0	 3 	 1 	 17 	 35 	 4 	0	0
103年 12月	 1 	0	 1 	0	 13 	 46 	0	0	0
104年	 11 	0	 27 	 19 	 262 	 980 	 36 	0	0
104年 1月	 2 	0	 1 	 4 	 13 	 68 	 2 	0	0
104年 2月	 2 	0	0	0	 12 	 46 	 4 	0	0
104年 3月	 1 	0	 4 	 2 	 23 	 65 	 6 	0	0
104年 4月	 2 	0	 4 	0	 19 	 72 	0	0	0
104年 5月	 1 	0	 3 	0	 26 	 100 	0	0	0
104年 6月	 1 	0	 1 	 2 	 24 	 77 	 1 	0	0
104年 7月	 1 	0	0	 4 	 28 	 150 	 5 	0	0
104年 8月	 1 	0	 4 	 3 	 28 	 97 	 13 	0	0
104年 9月	0	0	 5 	 2 	 20 	 107 	 3 	0	0
104年 10月	0	0	0	 1 	 30 	 84 	 1 	0	0
104年 11月	0	0	 4 	 1 	 24 	 63 	 1 	0	0
104年 12月	0	0	 1 	0	 15 	 51 	0	0	0
105年	 8 	0	 33 	 21 	 272 	 1,032 	 26 	0	 5 
105年 1月	0	0	 6 	 2 	 26 	 102 	 2 	0	0
105年 2月	0	0	 2 	 1 	 8 	 32 	 2 	0	 1 
105年 3月	 3 	0	 2 	 1 	 24 	 97 	 7 	0	0
105年 4月	 2 	0	 5 	 3 	 19 	 92 	 1 	0	 1 
105年 5月	0	0	 4 	 4 	 16 	 79 	 1 	0	0
105年 6月	0	0	 1 	 2 	 17 	 60 	 1 	0	0
105年 7月	0	0	 3 	 3 	 42 	 158 	 6 	0	0
105年 8月	0	0	 5 	 1 	 29 	 100 	 2 	0	 3 
105年 9月	0	0	 4 	 2 	 15 	 80 	 1 	0	0
105年 10月	 1 	0	0	 2 	 40 	 113 	 2 	0	0
105年 11月	 2 	0	 1 	0	 31 	 68 	 1 	0	0
105年 12月	0	0	0	0	 5 	 51 	0	0	0
