"","警察機關查獲毒品嫌疑犯人數─按教育程度別分"
"","總計 / 教育程度總計 ","總計 / 不識字 ","總計 / 自修 ","總計 / 國小 ","總計 / 國中 ","總計 / 高中(職) ","總計 / 大專 ","總計 / 研究所(含)以上 ","總計 / 不詳 ","男 / 教育程度總計 ","男 / 不識字 ","男 / 自修 ","男 / 國小 ","男 / 國中 ","男 / 高中(職) ","男 / 大專 ","男 / 研究所(含)以上 ","男 / 不詳 ","女 / 教育程度總計 ","女 / 不識字 ","女 / 自修 ","女 / 國小 ","女 / 國中 ","女 / 高中(職) ","女 / 大專 ","女 / 研究所(含)以上 ","女 / 不詳 "
"94年 4月","  4,042","      4","      1","    258","  2,071","  1,568","    136","      1","      3","  3,446","      -","      -","    222","  1,795","  1,312","    115","      -","      2","    596","      4","      1","     36","    276","    256","     21","      1","      1"
"94年 5月","  4,460","      8","      1","    297","  2,258","  1,784","     99","      2","     11","  3,723","      3","      1","    266","  1,921","  1,435","     87","      1","      9","    737","      5","      -","     31","    337","    349","     12","      1","      2"
"94年 6月","  4,090","      5","      -","    277","  2,059","  1,645","     97","      -","      7","  3,453","      2","      -","    241","  1,744","  1,381","     81","      -","      4","    637","      3","      -","     36","    315","    264","     16","      -","      3"
"94年 7月","  4,825","     11","      -","    310","  2,508","  1,858","    130","      3","      5","  4,029","      6","      -","    262","  2,133","  1,516","    105","      3","      4","    796","      5","      -","     48","    375","    342","     25","      -","      1"
"94年 8月","  5,166","      7","      -","    321","  2,626","  2,065","    145","      2","      -","  4,303","      5","      -","    278","  2,231","  1,668","    119","      2","      -","    863","      2","      -","     43","    395","    397","     26","      -","      -"
"94年 9月","  4,638","      8","      1","    331","  2,489","  1,676","    129","      -","      4","  3,909","      6","      1","    294","  2,129","  1,370","    106","      -","      3","    729","      2","      -","     37","    360","    306","     23","      -","      1"
"94年 10月","  4,239","      6","      3","    287","  2,193","  1,621","    124","      2","      3","  3,519","      4","      1","    251","  1,847","  1,306","    107","      2","      1","    720","      2","      2","     36","    346","    315","     17","      -","      2"
"94年 11月","  3,710","      5","      -","    228","  1,866","  1,517","     86","      -","      8","  3,132","      4","      -","    202","  1,611","  1,234","     73","      -","      8","    578","      1","      -","     26","    255","    283","     13","      -","      -"
"94年 12月","  2,908","     11","      2","    200","  1,447","  1,177","     68","      2","      1","  2,445","      9","      2","    173","  1,214","    984","     61","      1","      1","    463","      2","      -","     27","    233","    193","      7","      1","      -"
"95年"," 47,257","     72","      6","  3,037"," 24,063"," 18,612","  1,295","     18","    154"," 39,461","     49","      4","  2,613"," 20,430"," 15,181","  1,055","     18","    111","  7,796","     23","      2","    424","  3,633","  3,431","    240","      -","     43"
"95年 1月","  4,772","     10","      -","    340","  2,467","  1,861","     90","      1","      3","  4,000","      6","      -","    295","  2,109","  1,512","     76","      1","      1","    772","      4","      -","     45","    358","    349","     14","      -","      2"
