時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
95年 10月	 473 	 51 	 1 	 10 	0	 50 	 138 	 11 	 5 
95年 11月	 549 	 72 	 2 	 29 	0	 42 	 147 	 17 	 3 
95年 12月	 598 	 76 	 2 	 15 	0	 60 	 115 	 12 	 5 
96年	 7,780 	 849 	 51 	 302 	0	 716 	 2,678 	 204 	 49 
96年 1月	 501 	 55 	 5 	 28 	0	 35 	 300 	 17 	 1 
96年 2月	 758 	 71 	 6 	 61 	0	 33 	 197 	 10 	 4 
96年 3月	 580 	 51 	 2 	 37 	0	 54 	 225 	 10 	 9 
96年 4月	 505 	 72 	 5 	 21 	0	 43 	 142 	 14 	 3 
96年 5月	 636 	 79 	 6 	 20 	0	 34 	 138 	 15 	 2 
96年 6月	 550 	 65 	 4 	 16 	0	 34 	 95 	 16 	 2 
96年 7月	 663 	 91 	 5 	 22 	0	 45 	 316 	 15 	 1 
96年 8月	 700 	 87 	 3 	 23 	0	 42 	 174 	 7 	 3 
96年 9月	 708 	 82 	 2 	 29 	0	 44 	 248 	 20 	 10 
96年 10月	 771 	 79 	 4 	 14 	0	 129 	 338 	 20 	 6 
96年 11月	 836 	 58 	 7 	 23 	0	 160 	 260 	 38 	 5 
96年 12月	 572 	 59 	 2 	 8 	0	 63 	 245 	 22 	 3 
97年	 6,620 	 810 	 61 	 290 	 1 	 710 	 2,587 	 257 	 74 
97年 1月	 723 	 77 	 9 	 35 	 1 	 61 	 297 	 20 	 6 
97年 2月	 857 	 40 	 6 	 70 	0	 37 	 144 	 17 	 9 
97年 3月	 493 	 33 	 3 	 48 	0	 73 	 191 	 17 	 6 
97年 4月	 583 	 53 	 12 	 22 	0	 54 	 217 	 20 	 7 
97年 5月	 583 	 77 	 6 	 15 	0	 76 	 221 	 35 	 10 
97年 6月	 546 	 108 	 5 	 14 	0	 63 	 186 	 21 	 9 
