時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
99年 9月	 25 	0	 133 	 69 	 85 	 298 	 15 	0	0
99年 10月	 25 	0	 119 	 73 	 80 	 234 	 12 	0	0
99年 11月	 51 	 1 	 104 	 94 	 82 	 218 	 12 	0	0
99年 12月	 47 	0	 100 	 66 	 50 	 161 	 15 	0	0
100年	 318 	 1 	 1,276 	 734 	 832 	 2,973 	 223 	 2 	 3 
100年 1月	 23 	0	 128 	 75 	 84 	 267 	 18 	 1 	0
100年 2月	 83 	0	 71 	 49 	 47 	 161 	 14 	0	0
100年 3月	 27 	0	 111 	 68 	 61 	 275 	 24 	 1 	0
100年 4月	 10 	0	 83 	 54 	 49 	 235 	 17 	0	0
100年 5月	 10 	0	 104 	 74 	 74 	 264 	 10 	0	0
100年 6月	 25 	0	 105 	 61 	 71 	 247 	 20 	0	0
100年 7月	 15 	0	 112 	 44 	 59 	 284 	 33 	0	0
100年 8月	 11 	0	 117 	 74 	 88 	 259 	 30 	0	0
100年 9月	 30 	0	 103 	 60 	 82 	 245 	 15 	0	 1 
100年 10月	 44 	0	 122 	 69 	 85 	 242 	 14 	0	0
100年 11月	 17 	0	 120 	 52 	 75 	 299 	 12 	0	 2 
100年 12月	 23 	 1 	 100 	 54 	 57 	 195 	 16 	0	0
101年	 109 	 2 	 1,112 	 671 	 799 	 3,263 	 229 	0	 8 
101年 1月	 11 	0	 85 	 54 	 66 	 249 	 19 	0	 1 
101年 2月	 17 	0	 77 	 57 	 66 	 279 	 12 	0	 1 
101年 3月	 8 	0	 89 	 61 	 89 	 297 	 17 	0	0
101年 4月	 8 	0	 107 	 43 	 72 	 301 	 26 	0	0
101年 5月	 4 	0	 116 	 60 	 49 	 208 	 8 	0	0
101年 6月	 9 	0	 80 	 47 	 55 	 193 	 7 	0	0
101年 7月	 9 	 1 	 106 	 47 	 58 	 282 	 28 	0	 6 
101年 8月	 9 	0	 88 	 61 	 55 	 241 	 22 	0	0
101年 9月	 10 	 1 	 91 	 80 	 67 	 278 	 20 	0	0
101年 10月	 13 	0	 94 	 52 	 74 	 332 	 20 	0	0
101年 11月	 8 	0	 98 	 53 	 86 	 309 	 17 	0	0
101年 12月	 3 	0	 81 	 56 	 62 	 294 	 33 	0	0
102年	 170 	 2 	 1,149 	 732 	 734 	 3,664 	 309 	 2 	 2 
102年 1月	 10 	0	 81 	 43 	 67 	 331 	 67 	0	0
102年 2月	 34 	0	 73 	 34 	 73 	 336 	 36 	0	0
102年 3月	 5 	0	 106 	 57 	 70 	 298 	 10 	0	 1 
102年 4月	 13 	0	 75 	 58 	 61 	 282 	 22 	0	0
102年 5月	 8 	0	 99 	 60 	 75 	 312 	 28 	0	0
102年 6月	 7 	0	 75 	 55 	 58 	 359 	 20 	 1 	0
102年 7月	 5 	0	 97 	 93 	 59 	 317 	 39 	0	0
102年 8月	 51 	0	 100 	 95 	 53 	 315 	 23 	0	0
102年 9月	 12 	 1 	 124 	 70 	 45 	 296 	 14 	0	0
102年 10月	 10 	0	 112 	 58 	 57 	 307 	 18 	0	0
102年 11月	 10 	 1 	 103 	 49 	 64 	 290 	 19 	 1 	0
102年 12月	 5 	0	 104 	 60 	 52 	 221 	 13 	0	 1 
103年	 121 	0	 1,170 	 804 	 674 	 3,369 	 312 	 1 	0
103年 1月	 12 	0	 91 	 83 	 62 	 308 	 31 	0	0
103年 2月	 7 	0	 68 	 63 	 37 	 248 	 23 	0	0
103年 3月	 3 	0	 108 	 70 	 42 	 192 	 19 	0	0
103年 4月	 4 	0	 78 	 61 	 30 	 182 	 9 	 1 	0
103年 5月	 6 	0	 107 	 53 	 40 	 177 	 22 	0	0
103年 6月	 11 	0	 93 	 68 	 67 	 265 	 15 	0	0
103年 7月	 11 	0	 116 	 79 	 91 	 354 	 57 	0	0
103年 8月	 11 	0	 102 	 56 	 53 	 345 	 39 	0	0
103年 9月	 7 	0	 102 	 80 	 59 	 359 	 25 	0	0
103年 10月	 37 	0	 104 	 75 	 53 	 285 	 22 	0	0
103年 11月	 11 	0	 93 	 51 	 86 	 380 	 24 	0	0
103年 12月	 1 	0	 108 	 65 	 54 	 274 	 26 	0	0
104年	 238 	 2 	 1,202 	 820 	 998 	 4,572 	 349 	0	 4 
104年 1月	 26 	 1 	 109 	 65 	 57 	 341 	 41 	0	0
104年 2月	 52 	0	 60 	 61 	 69 	 384 	 41 	0	0
104年 3月	 5 	0	 131 	 79 	 76 	 341 	 27 	0	0
104年 4月	 8 	0	 93 	 52 	 68 	 417 	 28 	0	0
104年 5月	 6 	0	 81 	 56 	 103 	 400 	 30 	0	0
104年 6月	 10 	0	 97 	 91 	 79 	 378 	 25 	0	0
104年 7月	 31 	0	 96 	 55 	 90 	 424 	 41 	0	 1 
104年 8月	 12 	0	 105 	 65 	 82 	 427 	 45 	0	 1 
104年 9月	 22 	 1 	 91 	 72 	 80 	 362 	 24 	0	0
104年 10月	 21 	0	 118 	 76 	 95 	 408 	 19 	0	 1 
104年 11月	 19 	0	 116 	 77 	 116 	 353 	 13 	0	 1 
104年 12月	 26 	0	 105 	 71 	 83 	 337 	 15 	0	0
105年	 219 	 1 	 1,365 	 876 	 933 	 4,592 	 257 	 1 	 5 
105年 1月	 15 	0	 124 	 71 	 64 	 238 	 16 	0	0
105年 2月	 17 	0	 81 	 59 	 71 	 265 	 19 	0	0
105年 3月	 30 	0	 121 	 86 	 88 	 402 	 21 	0	 1 
105年 4月	 22 	0	 105 	 66 	 83 	 400 	 24 	0	0
105年 5月	 24 	0	 125 	 48 	 107 	 467 	 11 	0	0
105年 6月	 9 	 1 	 106 	 77 	 78 	 391 	 11 	0	0
105年 7月	 27 	0	 103 	 69 	 102 	 499 	 73 	 1 	0
105年 8月	 19 	0	 138 	 91 	 84 	 440 	 55 	0	0
105年 9月	 9 	0	 94 	 72 	 62 	 351 	 5 	0	0
105年 10月	 21 	0	 126 	 59 	 62 	 391 	 7 	0	 2 
105年 11月	 19 	0	 136 	 87 	 79 	 392 	 8 	0	0
105年 12月	 7 	0	 106 	 91 	 53 	 356 	 7 	0	 2 
