時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
103年 8月	0	0	0	 3 	0	0	0	 3 	 40 
103年 9月	0	0	0	 1 	0	0	0	 5 	 20 
103年 10月	0	0	 1 	0	0	0	0	 5 	 19 
103年 11月	0	0	0	 1 	0	0	0	 1 	 57 
103年 12月	0	0	0	 4 	0	0	0	0	 35 
104年	 1 	0	0	 21 	0	 4 	0	 56 	 377 
104年 1月	0	0	0	 2 	0	0	0	0	 34 
104年 2月	0	0	0	 1 	0	0	0	 15 	 31 
104年 3月	0	0	0	 3 	0	 1 	0	0	 27 
104年 4月	 1 	0	0	 2 	0	 1 	0	 5 	 22 
104年 5月	0	0	0	 3 	0	 1 	0	 3 	 21 
104年 6月	0	0	0	 4 	0	 1 	0	 2 	 34 
104年 7月	0	0	0	 1 	0	0	0	 2 	 41 
104年 8月	0	0	0	0	0	0	0	 3 	 49 
104年 9月	0	0	0	 3 	0	0	0	 4 	 29 
104年 10月	0	0	0	0	0	0	0	 11 	 25 
104年 11月	0	0	0	 1 	0	0	0	 5 	 27 
104年 12月	0	0	0	 1 	0	0	0	 6 	 37 
105年	 4 	0	0	 24 	0	 1 	0	 42 	 310 
105年 1月	0	0	0	 3 	0	 1 	0	 12 	 29 
105年 2月	0	0	0	 3 	0	0	0	 4 	 24 
105年 3月	0	0	0	 1 	0	0	0	 1 	 28 
105年 4月	0	0	0	0	0	0	0	 7 	 13 
105年 5月	 2 	0	0	 2 	0	0	0	 2 	 38 
105年 6月	0	0	0	 3 	0	0	0	 3 	 20 
105年 7月	0	0	0	0	0	0	0	 4 	 28 
105年 8月	0	0	0	 1 	0	0	0	 1 	 35 
105年 9月	 1 	0	0	 4 	0	0	0	 2 	 20 
105年 10月	0	0	0	 2 	0	0	0	 3 	 26 
105年 11月	 1 	0	0	 2 	0	0	0	 1 	 28 
105年 12月	0	0	0	 3 	0	0	0	 2 	 21 
