時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
104年 6月	0	 43 	 1 	 8 	0	0	0	 13 	0
104年 7月	0	 37 	0	0	0	0	0	 15 	0
104年 8月	0	 27 	0	 2 	 1 	0	0	 8 	0
104年 9月	0	 21 	0	 2 	0	0	0	 10 	0
104年 10月	0	 47 	 3 	 2 	0	0	0	 16 	0
104年 11月	0	 45 	0	0	0	0	0	 19 	0
104年 12月	0	 52 	0	0	 1 	0	0	 8 	0
105年	 1 	 373 	 10 	 19 	 6 	0	0	 141 	0
105年 1月	0	 25 	0	0	 1 	0	0	 10 	0
105年 2月	0	 24 	 1 	 2 	 1 	0	0	 8 	0
105年 3月	 1 	 36 	 1 	 3 	 1 	0	0	 11 	0
105年 4月	0	 32 	 1 	 2 	0	0	0	 15 	0
105年 5月	0	 34 	 1 	 1 	0	0	0	 17 	0
105年 6月	0	 42 	 2 	 2 	0	0	0	 10 	0
105年 7月	0	 30 	 2 	 2 	0	0	0	 13 	0
105年 8月	0	 10 	0	 3 	0	0	0	 18 	0
105年 9月	0	 14 	0	 1 	 2 	0	0	 13 	0
105年 10月	0	 44 	0	 2 	0	0	0	 5 	0
105年 11月	0	 40 	 1 	 1 	 1 	0	0	 13 	0
105年 12月	0	 42 	 1 	0	0	0	0	 8 	0
