時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
101年 12月	 5 	0	0	 1 	0	0	0	0	0
102年	 43 	0	0	 9 	 3 	 2 	0	0	0
102年 1月	 1 	0	0	 2 	0	0	0	0	0
102年 2月	0	0	0	0	0	0	0	0	0
102年 3月	 5 	0	0	0	0	0	0	0	0
102年 4月	 2 	0	0	 3 	0	 2 	0	0	0
102年 5月	 1 	0	0	 2 	0	0	0	0	0
102年 6月	 3 	0	0	 1 	0	0	0	0	0
102年 7月	 12 	0	0	 1 	0	0	0	0	0
102年 8月	 4 	0	0	0	0	0	0	0	0
102年 9月	 3 	0	0	0	 1 	0	0	0	0
102年 10月	 5 	0	0	0	0	0	0	0	0
102年 11月	 2 	0	0	0	 1 	0	0	0	0
102年 12月	 5 	0	0	0	 1 	0	0	0	0
103年	 40 	0	 12 	 14 	 1 	0	0	0	0
103年 1月	0	0	0	 2 	0	0	0	0	0
103年 2月	0	0	0	 1 	0	0	0	0	0
103年 3月	 2 	0	0	0	0	0	0	0	0
103年 4月	 3 	0	0	 1 	0	0	0	0	0
103年 5月	 3 	0	0	 1 	0	0	0	0	0
103年 6月	 2 	0	0	0	0	0	0	0	0
103年 7月	 4 	0	0	 2 	0	0	0	0	0
103年 8月	 6 	0	0	0	0	0	0	0	0
103年 9月	 4 	0	 1 	 4 	0	0	0	0	0
103年 10月	 6 	0	0	0	 1 	0	0	0	0
103年 11月	 7 	0	 6 	 2 	0	0	0	0	0
103年 12月	 3 	0	 5 	 1 	0	0	0	0	0
104年	 40 	 1 	 4 	 7 	 1 	0	0	0	 1 
104年 1月	 2 	0	 1 	0	0	0	0	0	0
104年 2月	 1 	0	 2 	0	0	0	0	0	0
104年 3月	 1 	0	0	 3 	0	0	0	0	0
104年 4月	0	0	0	0	0	0	0	0	0
104年 5月	 2 	0	0	0	0	0	0	0	0
104年 6月	 5 	0	0	 1 	0	0	0	0	0
104年 7月	 8 	0	0	 1 	0	0	0	0	0
104年 8月	 5 	0	0	0	0	0	0	0	0
104年 9月	 2 	 1 	0	0	0	0	0	0	0
104年 10月	 8 	0	0	 1 	0	0	0	0	0
104年 11月	 5 	0	 1 	 1 	 1 	0	0	0	0
104年 12月	 1 	0	0	0	0	0	0	0	 1 
105年	 70 	0	 2 	 14 	 3 	0	0	0	0
105年 1月	 6 	0	 1 	0	0	0	0	0	0
105年 2月	 3 	0	0	 1 	0	0	0	0	0
105年 3月	 6 	0	0	 2 	0	0	0	0	0
105年 4月	 8 	0	0	0	 3 	0	0	0	0
105年 5月	 7 	0	0	 2 	0	0	0	0	0
105年 6月	 5 	0	0	 1 	0	0	0	0	0
105年 7月	 1 	0	0	0	0	0	0	0	0
105年 8月	 4 	0	0	 1 	0	0	0	0	0
105年 9月	 1 	0	0	 2 	0	0	0	0	0
105年 10月	 7 	0	 1 	 2 	0	0	0	0	0
105年 11月	 13 	0	0	 2 	0	0	0	0	0
105年 12月	 9 	0	0	 1 	0	0	0	0	0
