,year,population,exchange_rate,economy_growth,gdp_nt_dollar(unit: million),gdp_us_dollar(unit: million),gdp_avg_nt_dollar,gdp_avg_us_dollar,gni_nt_dollar(unit: million),gni_us_dollar(unit: million),gni_avg_nt_dollar,gni_avg_us_dollar,ni_nt_dollar,ni_us_dollar,avg_income_nt_dollar,avg_income_us_dollar
122,  Ⅱ,18614026.0,40.03,8.41,548306.0,13705.0,29457.0,737.0,543403.0,13582.0,29193.0,729.0,484368.0,12106.0,26022.0,650.0
123,  Ⅲ,18683238.0,40.12,11.3,554907.0,13839.0,29701.0,741.0,558179.0,13920.0,29876.0,745.0,500111.0,12472.0,26768.0,668.0
124,  Ⅳ,18754456.0,40.19,11.79,571264.0,14221.0,30461.0,758.0,570356.0,14199.0,30411.0,758.0,514139.0,12800.0,27415.0,683.0
125,73年,18929866.0,39.62,10.05,2418884.0,61052.0,127781.0,3225.0,2448859.0,61809.0,129365.0,3265.0,2206303.0,55687.0,116551.0,2942.0
126,  Ⅰ,18816526.0,40.15,11.88,562284.0,14000.0,29858.0,743.0,570970.0,14216.0,30320.0,755.0,514624.0,12813.0,27329.0,680.0
127,  Ⅱ,18872694.0,39.77,11.66,619869.0,15581.0,32819.0,825.0,620554.0,15598.0,32855.0,826.0,555259.0,13957.0,29398.0,739.0
128,  Ⅲ,18939896.0,39.21,9.71,620261.0,15814.0,32723.0,834.0,632351.0,16121.0,33361.0,850.0,572975.0,14607.0,30228.0,771.0
129,  Ⅳ,19023146.0,39.36,7.31,616470.0,15657.0,32381.0,823.0,624984.0,15874.0,32829.0,834.0,563445.0,14310.0,29596.0,752.0
130,74年,19191510.0,39.86,4.81,2536012.0,63623.0,132142.0,3315.0,2583166.0,64806.0,134599.0,3377.0,2327221.0,58385.0,121263.0,3042.0
131,  Ⅰ,19095232.0,39.3,5.68,598491.0,15229.0,31327.0,797.0,614377.0,15633.0,32158.0,819.0,558260.0,14205.0,29221.0,744.0
132,  Ⅱ,19145377.0,39.82,4.24,641680.0,16116.0,33500.0,841.0,647713.0,16267.0,33814.0,849.0,574331.0,14423.0,29983.0,753.0
133,  Ⅲ,19203545.0,40.31,3.62,639119.0,15855.0,33265.0,825.0,654199.0,16230.0,34050.0,844.0,593584.0,14726.0,30894.0,766.0
134,  Ⅳ,19276757.0,39.99,5.76,656722.0,16423.0,34050.0,852.0,666877.0,16676.0,34577.0,865.0,601046.0,15031.0,31165.0,779.0
135,75年,19411454.0,37.85,11.52,2966911.0,78386.0,152843.0,4038.0,3043873.0,80419.0,156808.0,4143.0,2773615.0,73279.0,142885.0,3775.0
136,  Ⅰ,19336243.0,39.24,10.2,684160.0,17393.0,35382.0,900.0,704347.0,17907.0,36425.0,926.0,651855.0,16572.0,33711.0,857.0
137,  Ⅱ,19382372.0,38.38,9.57,734679.0,19096.0,37904.0,986.0,750650.0,19511.0,38727.0,1007.0,669214.0,17395.0,34526.0,898.0
138,  Ⅲ,19431510.0,37.47,12.32,761704.0,20279.0,39198.0,1043.0,779974.0,20766.0,40139.0,1069.0,713094.0,18985.0,36697.0,977.0
139,  Ⅳ,19483657.0,36.29,13.77,786368.0,21618.0,40359.0,1109.0,808902.0,22235.0,41517.0,1141.0,739452.0,20327.0,37951.0,1043.0
140,76年,19617046.0,31.87,12.7,3344962.0,104956.0,170513.0,5350.0,3418313.0,107258.0,174252.0,5468.0,3109963.0,97583.0,158534.0,4974.0
141,  Ⅰ,19528807.0,34.98,13.16,786725.0,22348.0,40265.0,1144.0,809426.0,22997.0,41427.0,1177.0,748321.0,21269.0,38298.0,1088.0
142,  Ⅱ,19572927.0,32.39,14.29,832223.0,25531.0,42498.0,1304.0,848429.0,26033.0,43325.0,1329.0,761475.0,23374.0,38884.0,1194.0
143,  Ⅲ,19627073.0,30.53,13.64,862293.0,28064.0,43912.0,1429.0,879938.0,28644.0,44810.0,1459.0,806199.0,26254.0,41054.0,1337.0
144,  Ⅳ,19692249.0,29.58,9.95,863721.0,29013.0,43838.0,1473.0,880520.0,29584.0,44690.0,1503.0,793968.0,26686.0,40298.0,1355.0
145,77年,19839704.0,28.61,8.02,3615319.0,126366.0,182226.0,6369.0,3712693.0,129769.0,187134.0,6541.0,3387085.0,118388.0,170723.0,5967.0
146,  Ⅰ,19744456.0,28.61,8.65,846978.0,29604.0,42870.0,1498.0,876596.0,30638.0,44368.0,1551.0,813359.0,28429.0,41166.0,1439.0
147,  Ⅱ,19788571.0,28.68,6.98,887744.0,30953.0,44832.0,1563.0,910270.0,31738.0,45970.0,1603.0,828177.0,28876.0,41823.0,1458.0
148,  Ⅲ,19846722.0,28.77,8.07,926609.0,32207.0,46658.0,1622.0,946872.0,32911.0,47678.0,1657.0,866099.0,30105.0,43610.0,1516.0
149,  Ⅳ,19917908.0,28.39,8.41,953988.0,33602.0,47866.0,1686.0,978955.0,34482.0,49118.0,1730.0,879450.0,30978.0,44124.0,1554.0
150,78年,20055492.0,26.41,8.75,4033071.0,152710.0,201096.0,7614.0,4133840.0,156526.0,206120.0,7805.0,3795599.0,143718.0,189255.0,7166.0
151,  Ⅰ,19974292.0,27.65,9.1,949158.0,34265.0,47507.0,1715.0,975671.0,35221.0,48835.0,1764.0,906837.0,32742.0,45388.0,1639.0
152,  Ⅱ,20017398.0,26.27,9.39,992328.0,37704.0,49561.0,1883.0,1005123.0,38190.0,50200.0,1907.0,921407.0,35015.0,46018.0,1749.0
153,  Ⅲ,20071532.0,25.74,8.47,1023333.0,39683.0,50972.0,1977.0,1052008.0,40796.0,52401.0,2032.0,969910.0,37618.0,48310.0,1874.0
154,  Ⅳ,20129675.0,25.97,8.11,1068252.0,41058.0,53056.0,2039.0,1101038.0,42319.0,54684.0,2102.0,997445.0,38343.0,49539.0,1904.0
155,79年,20278946.0,26.89,5.65,4480288.0,166615.0,220933.0,8216.0,4597595.0,170978.0,226718.0,8431.0,4183419.0,155575.0,206294.0,7672.0
156,  Ⅰ,20180709.0,26.18,7.5,1072990.0,40997.0,53160.0,2031.0,1104663.0,42206.0,54730.0,2091.0,1025699.0,39184.0,50816.0,1941.0
157,  Ⅱ,20235842.0,26.91,4.14,1102526.0,40983.0,54475.0,2025.0,1129358.0,41979.0,55800.0,2074.0,1006469.0,37406.0,49727.0,1848.0
158,  Ⅲ,20304006.0,27.25,4.3,1115762.0,40957.0,54944.0,2017.0,1142194.0,41926.0,56245.0,2064.0,1056219.0,38765.0,52010.0,1909.0
159,  Ⅳ,20372171.0,27.23,6.77,1189010.0,43678.0,58354.0,2143.0,1221380.0,44867.0,59943.0,2202.0,1095032.0,40220.0,53741.0,1974.0
160,80年,20503568.0,26.82,8.36,5023763.0,187314.0,245019.0,9136.0,5159313.0,192368.0,251630.0,9382.0,4686035.0,174722.0,228547.0,8522.0
161,  Ⅰ,20425383.0,27.19,7.03,1193397.0,43838.0,58414.0,2146.0,1231282.0,45229.0,60269.0,2214.0,1130436.0,41522.0,55333.0,2032.0
162,  Ⅱ,20470490.0,27.26,8.63,1237128.0,45329.0,60422.0,2214.0,1262851.0,46269.0,61678.0,2260.0,1124074.0,41182.0,54900.0,2011.0
163,  Ⅲ,20517601.0,26.76,9.18,1260298.0,47039.0,61412.0,2292.0,1293677.0,48285.0,63038.0,2353.0,1181873.0,44109.0,57590.0,2150.0
164,  Ⅳ,20574737.0,26.05,8.5,1332940.0,51108.0,64771.0,2484.0,1371503.0,52585.0,66645.0,2555.0,1249652.0,47909.0,60724.0,2329.0
165,81年,20704227.0,25.16,8.29,5614679.0,223159.0,271185.0,10778.0,5735441.0,227959.0,277018.0,11010.0,5147882.0,204606.0,248639.0,9882.0
166,  Ⅰ,20623560.0,25.21,10.52,1350206.0,53579.0,65440.0,2597.0,1381997.0,54841.0,66982.0,2658.0,1256860.0,49877.0,60915.0,2417.0
167,  Ⅱ,20663315.0,25.03,8.49,1381427.0,55213.0,66824.0,2671.0,1405527.0,56177.0,67990.0,2718.0,1248725.0,49910.0,60405.0,2414.0
168,  Ⅲ,20713865.0,25.04,7.92,1402615.0,56037.0,67684.0,2704.0,1430808.0,57164.0,69045.0,2758.0,1283877.0,51295.0,61954.0,2475.0
