year,loc,total,male,female,15-19,15-19m,15-19f,20-24,20-24m,20-24f,25-29,25-29m,25-29f,30-34,30-34m,30-34f,35-39,35-39m,35-39f,40-44,40-44m,40-44f,45-49,45-49m,45-49f,50-54,50-54m,50-54f,55-59,55-59m,55-59f,60-64,60-64m,60-64f,65-,65-m,65-f
83,臺中縣,1.4,1.3,1.4,5.2,4.4,6.1,3.7,4.2,3.4,1.7,1.9,1.5,0.9,1.1,0.5,0.3,0.5,0.1,0.6,0.9,0.1,0.3,0.4,0,0.3,0.4,0,0.2,0.3,0,0.6,0.7,0,0,0,0
83,彰化縣,1.1,1.1,1.1,3.5,2.9,4.1,3.3,4.0,2.6,1.4,1.6,1.1,0.8,1.0,0.6,0.6,0.7,0.6,0.5,0.5,0.5,0.3,0.4,0.2,0.3,0.4,0,0.4,0.5,0,0.3,0.4,0,0.2,0.2,0
83,南投縣,1.3,1.1,1.5,5.6,6.4,4.7,4.7,5.0,4.5,1.4,1.3,1.6,0.4,0.1,0.9,0.5,0.8,0.1,0.3,0.1,0.8,0.3,0.5,0,0.2,0.2,0,1.0,1.3,0,0.2,0.1,0.4,0,0,0
83,雲林縣,1.1,1.0,1.2,5.3,4.3,6.6,3.0,3.5,2.6,1.5,1.6,1.5,0.8,0.8,0.7,0.5,0.5,0.4,0.2,0.1,0.3,0.1,0,0.3,0.4,0.4,0.4,0.2,0.3,0.1,0.2,0.3,0,0,0,0
83,南部區域,1.6,1.6,1.7,4.7,3.7,5.8,4.9,5.5,4.5,2.3,2.3,2.3,1.2,1.5,0.8,0.9,1.2,0.5,0.6,0.7,0.4,0.6,0.8,0.4,0.5,0.7,0.0,0.4,0.6,0.0,0.2,0.2,0.1,0.0,0.0,0
83,高雄市,1.8,1.7,1.8,5.4,5.2,5.5,5.5,6.3,4.9,2.9,3.0,2.8,1.2,1.6,0.4,1.0,1.3,0.5,0.7,0.8,0.4,0.4,0.6,0,0.3,0.4,0,0.6,0.7,0,0.1,0.1,0,0,0,0
83,嘉義市,1.7,1.7,1.7,3.1,0.5,5.9,4.8,5.8,4.1,2.4,2.1,2.8,1.7,1.9,1.4,0.9,1.5,0,0.3,0.4,0.1,0.7,1.1,0,1.4,1.9,0,0.2,0.3,0,2.1,2.4,0.9,0,0,0
83,臺南市,2.1,2.0,2.2,4.9,3.4,6.4,6.6,7.2,6.1,3.3,3.0,3.6,1.0,1.4,0.5,0.9,1.3,0.3,1.2,1.4,1.0,1.0,0.8,1.4,0.9,1.4,0,0.8,1.2,0,0.2,0,0.9,0,0,0
83,嘉義縣,1.2,1.1,1.3,4.4,2.7,6.3,3.0,3.0,3.0,2.0,2.2,1.7,0.7,0.8,0.4,0.8,0.9,0.8,0.2,0.2,0,0.6,0.5,0.7,0.4,0.6,0,0.5,0.8,0,0.2,0.3,0,0,0,0
83,臺南縣,1.5,1.7,1.2,5.4,4.9,5.9,4.5,6.2,3.1,2.1,2.5,1.5,1.3,1.6,0.7,1.1,1.4,0.5,0.5,0.4,0.6,0.6,0.9,0,0.5,0.6,0.2,0.3,0.4,0,0.1,0.1,0,0,0,0
83,高雄縣,1.9,1.9,2.0,4.9,3.6,6.2,5.3,5.3,5.3,1.8,2.0,1.6,2.1,2.4,1.5,1.2,1.4,0.8,0.6,0.9,0.1,0.9,1.2,0.3,0.5,0.7,0,0.6,0.8,0,0.2,0.2,0,0.1,0.2,0
83,屏東縣,1.2,1.0,1.6,3.5,3.2,3.8,4.5,4.8,4.3,1.8,1.5,2.5,0.6,0.3,1.2,0.4,0.4,0.4,0.7,0.8,0.3,0.5,0.4,0.7,0.3,0.4,0,0.2,0.3,0.2,0,0,0,0,0,0
83,澎湖縣,0.9,0.5,1.5,2.7,1.0,4.4,2.0,1.3,2.6,1.2,1.3,1.1,0.8,0.3,2.1,0.2,0.3,0,0,0,0,0,0,0,0.6,0.7,0,0,0,0,0,0,0,0,0,0
83,東部區域,1.6,1.4,2.0,6.2,3.4,9.7,4.6,4.7,4.5,2.0,2.0,1.9,1.4,1.5,1.1,0.5,0.5,0.4,0.3,0.3,0.2,0.4,0.6,0,0.7,0.4,1.1,0.3,0.5,0,0.6,0.8,0,0.4,0.3,0.7
83,臺東縣,1.8,1.7,1.9,4.7,1.8,8.4,4.8,5.3,4.3,1.8,2.4,0.8,1.9,2.2,1.1,1.0,1.0,1.1,0.6,0.7,0.5,0.4,0.6,0,0.8,0.4,1.5,0.4,0.6,0,0,0,0,0,0,0
83,花蓮縣,1.5,1.2,2.1,7.4,4.7,10.7,4.4,4.1,4.6,2.1,1.8,2.7,1.0,0.9,1.2,0.1,0.2,0,0,0,0,0.4,0.7,0,0.6,0.4,0.8,0.3,0.4,0,1.1,1.4,0,0.6,0.5,1.1
84,臺灣地區,1.79,1.79,1.80,5.59,4.56,6.73,5.16,5.78,4.69,2.55,2.68,2.37,1.36,1.61,0.92,1.00,1.21,0.65,0.82,1.00,0.53,0.78,1.03,0.30,0.70,0.93,0.19,0.42,0.47,0.28,0.31,0.38,0.09,0.12,0.13,0.09
84,北部區域,1.9,1.9,1.9,5.7,4.0,7.6,5.3,6.0,4.7,2.6,2.8,2.4,1.4,1.7,1.0,1.0,1.2,0.6,0.9,1.1,0.5,0.9,1.1,0.5,0.9,1.3,0.0,0.6,0.6,0.4,0.3,0.4,0.2,0.2,0.2,0.2
84,臺北市,2.1,2.2,2.0,7.4,6.7,8.1,6.6,7.5,6.0,3.5,3.3,3.7,2.1,2.4,1.6,0.8,1.0,0.6,1.0,1.5,0.4,1.4,2.0,0.4,1.3,1.9,0,0.4,0.4,0.3,0.3,0.4,0,0,0,0
84,基隆市,2.8,2.5,3.2,8.1,4.5,12.5,6.7,7.4,6.2,4.2,3.8,4.7,2.2,2.4,1.9,2.0,2.6,1.1,1.2,1.6,0.6,0.8,1.1,0,0.3,0.1,0.7,0.5,0.7,0,0,0,0,0,0,0
84,新竹市,1.8,1.8,1.8,3.8,3.2,4.5,4.6,5.0,4.3,2.8,3.0,2.5,1.0,1.2,0.6,1.2,1.1,1.3,1.1,1.1,1.2,1.2,1.7,0.4,1.1,1.6,0,1.1,1.6,0,0,0,0,0,0,0
84,臺北縣,1.9,1.9,1.8,5.5,3.6,7.9,5.3,6.6,4.4,2.5,2.9,1.9,1.3,1.7,0.7,1.0,1.2,0.7,0.9,0.9,0.7,0.9,0.9,0.9,0.9,1.3,0,0.9,1.1,0.5,0.7,0.6,1.0,0.3,0.3,0
84,宜蘭縣,1.9,1.9,1.9,5.5,4.2,6.7,4.6,4.8,4.4,2.4,2.7,1.8,1.9,2.2,1.4,2.0,2.8,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.9,1.1,0.3,0.4,0.4,0.3,0,0,0,0,0,0
84,桃園縣,1.2,1.2,1.2,4.5,2.6,6.8,3.8,4.3,3.4,1.4,1.7,1.0,0.5,0.6,0.3,0.8,1.1,0.2,0.7,0.9,0.4,0.0,0,0.1,0.4,0.5,0,0.1,0.1,0,0.4,0.4,0,0.1,0,1.9
84,新竹縣,1.3,1.0,1.6,3.2,1.7,4.8,3.7,2.8,4.4,2.2,2.3,2.0,0.7,1.0,0.1,0.7,0.5,1.1,0.1,0,0.4,0.4,0.6,0,0.4,0.6,0,0.6,0.2,2.2,0,0,0,1.7,2.0,0
84,中部區域,1.8,1.8,1.8,4.8,4.4,5.3,5.2,5.7,4.8,2.7,2.9,2.3,1.2,1.3,1.0,1.2,1.3,0.8,0.8,1.0,0.4,0.7,0.9,0.2,0.6,0.6,0.5,0.3,0.4,0.2,0.3,0.4,0,0,0,0
84,臺中市,2.4,2.8,1.9,6.4,5.9,7.1,5.3,5.4,5.2,4.0,5.6,2.0,2.2,2.5,1.8,1.7,2.5,0.6,0.9,1.3,0.3,2.0,2.9,0.2,1.0,0.9,1.1,0.1,0.2,0,0.3,0.4,0,0,0,0
84,苗栗縣,2.0,1.8,2.4,5.0,5.1,4.8,7.3,8.2,6.5,2.9,2.6,3.3,1.1,1.3,0.6,1.1,1.0,1.4,0.7,0.7,0.7,0.4,0.4,0.3,0.5,0.6,0.4,0.2,0.2,0,0.2,0.3,0,0,0,0
84,臺中縣,2.2,2.2,2.2,5.4,4.9,6.0,6.5,8.0,5.4,2.8,3.3,2.2,1.3,1.5,1.1,1.4,1.4,1.4,0.8,1.1,0.1,0.6,0.7,0.4,1.1,1.0,1.4,0.7,0.9,0,0.6,0.7,0,0,0,0
84,彰化縣,1.4,1.3,1.4,3.3,3.3,3.4,3.9,3.8,3.9,2.2,2.4,1.8,0.8,0.9,0.8,0.6,0.8,0.3,1.0,1.2,0.6,0.4,0.6,0,0.4,0.5,0.2,0.5,0.4,0.7,0.3,0.4,0,0,0,0
84,南投縣,1.6,1.3,2.3,5.9,4.0,8.0,5.6,4.3,6.9,2.3,1.9,2.9,0.8,0.8,0.9,1.0,1.4,0.2,0.8,0.6,1.1,0.3,0.4,0,0.4,0.5,0.3,0.3,0.4,0,0.4,0.5,0,0,0,0
84,雲林縣,1.0,1.1,0.9,4.2,4.0,4.3,3.1,4.5,1.9,1.9,1.7,2.2,0.4,0.5,0.4,0.9,1.0,0.6,0.3,0.5,0,0.2,0.3,0,0.1,0.2,0,0,0,0,0.1,0.1,0,0,0,0
84,南部區域,1.7,1.7,1.7,6.1,5.2,7.0,4.9,5.4,4.6,2.3,2.3,2.3,1.4,1.8,0.6,0.9,1.1,0.6,0.8,0.8,0.7,0.7,1.0,0.2,0.5,0.8,0.1,0.3,0.2,0.3,0.2,0.3,0,0.1,0.2,0
84,高雄市,1.8,1.8,1.9,6.4,5.8,6.9,5.4,6.0,5.0,2.6,2.7,2.5,1.8,2.5,0.4,0.8,1.0,0.5,0.9,1.0,0.7,0.6,0.8,0,0.4,0.6,0,0.1,0.1,0.3,0,0,0,0,0,0
84,嘉義市,1.9,1.7,2.2,7.8,5.7,9.9,5.5,4.6,6.2,3.6,3.5,3.7,1.8,1.5,2.1,1.0,1.4,0.2,0.6,1.0,0,0.6,0.9,0,0.5,0.8,0,0,0,0,0,0,0,0,0,0
84,臺南市,2.3,2.5,2.1,6.1,5.8,6.4,6.0,6.8,5.5,3.4,3.4,3.4,1.4,1.9,0.8,1.6,2.1,0.8,1.6,2.1,1.0,1.0,1.6,0.2,1.4,2.1,0,0.8,0.7,1.1,1.1,1.6,0,0,0,0
84,嘉義縣,1.7,1.8,1.5,6.1,7.2,4.8,5.8,6.9,4.7,2.3,2.1,2.6,1.2,1.5,0.5,0.7,0.8,0.5,0.8,1.0,0.5,1.0,1.3,0.3,0.3,0.4,0,0.1,0.1,0,0.2,0.3,0,0,0,0
84,臺南縣,1.1,1.0,1.3,7.8,6.5,9.0,3.6,3.6,3.6,1.1,1.1,1.1,1.0,1.3,0.5,0.3,0.5,0,0.4,0.3,0.5,0.3,0.5,0,0.3,0.4,0,0.2,0.4,0,0.1,0.1,0,0,0,0
84,高雄縣,2.1,2.0,2.1,5.2,2.6,7.8,5.5,5.9,5.2,2.6,2.9,2.2,1.9,2.6,0.8,1.5,1.6,1.3,0.7,0.4,1.0,1.1,1.6,0.4,0.9,1.1,0.4,0.1,0.2,0,0.2,0.2,0,0.6,0.8,0
84,屏東縣,1.0,1.1,1.0,4.6,4.4,4.8,3.3,4.0,2.6,1.4,1.3,1.6,0.4,0.6,0,0.7,0.9,0.1,0.4,0.5,0.3,0.4,0.4,0.4,0.2,0.3,0,0.4,0.3,0.8,0.4,0.5,0,0,0,0
84,澎湖縣,1.5,1.5,1.7,6.0,5.1,6.7,3.8,4.5,3.3,2.0,2.2,1.4,1.8,2.2,0.6,0,0,0,0.3,0.4,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
84,東部區域,2.2,2.2,2.1,7.2,7.7,6.6,5.5,6.8,4.3,3.1,3.1,3.2,1.8,1.6,2.3,0.7,0.7,0.6,1.1,1.5,0.4,0.8,1.2,0.2,0.4,0.6,0,1.3,1.9,0,0.9,0.9,1.2,0.4,0.2,1.0
84,臺東縣,2.2,2.3,2.1,7.7,8.4,6.9,5.8,7.6,4.3,3.0,2.7,3.5,1.5,1.5,1.4,0.6,0.5,0.9,1.4,2.1,0.3,1.1,1.7,0,0,0,0,0.9,1.4,0,1.0,0.5,2.4,0,0,0
84,花蓮縣,2.2,2.2,2.0,6.8,7.2,6.3,5.2,6.2,4.3,3.2,3.4,2.9,2.0,1.6,2.8,0.7,0.9,0.4,0.9,1.2,0.5,0.7,0.9,0.4,0.7,1.0,0,1.7,2.2,0,0.9,1.2,0,0.7,0.4,2.0
85,臺灣地區,2.60,2.72,2.42,7.47,6.56,8.45,6.72,7.41,6.21,3.65,4.00,3.16,2.08,2.40,1.55,1.65,2.00,1.10,1.49,1.96,0.74,1.37,1.81,0.59,1.20,1.61,0.35,1.05,1.37,0.23,0.65,0.77,0.29,0.15,0.17,0.04
85,北部區域,2.6,2.7,2.4,7.6,6.0,9.3,6.7,7.6,6.1,3.5,4.0,2.9,2.0,2.3,1.6,1.6,1.9,1.1,1.6,2.0,0.9,1.5,2.0,0.7,1.4,1.8,0.3,1.2,1.5,0.2,1.0,1.1,0.7,0.2,0.2,0
85,臺北市,2.9,3.1,2.7,8.2,5.5,11.0,8.9,9.8,8.4,4.3,5.2,3.4,2.5,2.8,2.1,2.1,2.7,1.3,1.8,2.2,1.2,1.7,2.3,0.8,1.4,1.7,0.7,0.9,1.2,0.2,0.9,1.1,0.4,0.3,0.4,0
85,基隆市,3.7,3.9,3.3,13.5,13.1,14.0,9.5,13.4,7.0,4.7,5.3,4.0,2.9,3.6,1.6,1.5,1.7,1.2,1.1,1.1,1.1,1.7,2.5,0.1,2.6,3.6,0,2.0,2.3,0.7,1.0,1.3,0,0.6,0.8,0
85,新竹市,1.8,1.9,1.8,3.8,3.4,4.2,4.7,4.5,4.9,3.0,3.4,2.5,1.4,1.7,1.0,0.9,0.9,0.9,1.3,1.7,0.7,1.8,2.5,0.8,0.6,0.9,0,0.1,0,0.5,0,0,0,0,0,0
85,臺北縣,2.6,2.8,2.3,7.1,6.0,8.5,5.8,6.9,5.0,3.3,3.8,2.6,2.0,2.3,1.6,1.6,1.8,1.2,1.8,2.4,0.9,1.7,2.1,0.9,1.5,2.1,0.1,1.3,1.7,0,1.4,1.7,0.6,0.2,0.2,0
85,宜蘭縣,3.2,3.4,3.0,9.4,6.6,12.2,5.7,3.9,7.3,4.2,4.9,3.2,3.1,3.8,1.8,2.0,2.8,0.6,2.1,2.5,1.4,2.1,3.0,0.4,1.5,2.2,0,2.8,3.6,0.5,1.3,1.6,0,0.2,0.2,0
85,桃園縣,2.1,1.9,2.3,6.7,4.1,9.1,6.9,8.1,6.0,2.8,2.9,2.7,1.0,1.1,1.0,1.2,1.3,1.0,0.8,1.1,0.4,0.6,0.8,0.3,0.8,1.1,0,0.9,1.1,0,0.9,0.4,3.8,0,0,0
85,新竹縣,1.6,1.6,1.4,7.8,8.6,7.3,3.8,4.7,3.1,1.6,1.9,1.1,1.3,1.4,1.0,0.4,0.4,0.4,1.2,1.5,0.6,1.2,1.8,0,0.8,1.0,0.4,0.3,0,1.2,0.5,0.6,0,0,0,0
85,中部區域,2.4,2.4,2.3,7.4,6.6,8.5,6.6,7.4,5.9,3.6,3.8,3.3,1.8,2.0,1.3,1.2,1.6,0.6,1.2,1.6,0.5,0.8,1.0,0.3,1.0,1.3,0.2,0.7,0.9,0.1,0.3,0.4,0.2,0.2,0.2,0.1
85,臺中市,2.9,3.0,2.7,8.9,6.4,11.9,7.9,8.2,7.8,5.2,6.6,3.7,2.3,2.4,2.3,1.2,1.7,0.4,1.7,2.4,0.4,0.9,1.2,0.3,0.6,0.8,0,0.8,1.1,0,0.7,0.9,0,0.3,0,2.4
85,苗栗縣,2.3,2.3,2.5,10.0,9.9,10.2,7.3,8.0,6.7,3.0,3.0,2.9,1.4,1.7,1.0,1.5,1.7,1.1,0.8,1.1,0.1,0.9,1.1,0.5,1.1,1.6,0,0.5,0.7,0,0,0,0,0,0,0
85,臺中縣,2.5,2.7,2.3,8.5,8.4,8.7,6.2,7.5,5.2,3.2,3.0,3.4,1.7,2.2,0.8,1.6,2.1,0.6,1.2,1.7,0.3,0.7,1.1,0,1.3,1.8,0,0.5,0.7,0,0.4,0.5,0,0,0,0
85,彰化縣,2.1,2.1,2.1,5.7,4.6,7.1,6.3,7.1,5.6,3.3,3.5,3.0,1.8,2.2,0.7,1.1,1.4,0.6,0.6,0.8,0.2,0.6,0.7,0.2,0.8,0.9,0.5,0.9,1.2,0.2,0.5,0.6,0.3,0,0,0
85,南投縣,2.6,2.5,2.7,6.4,7.3,5.4,8.1,8.5,7.8,4.3,4.2,4.3,1.7,1.7,1.5,0.8,0.8,0.8,2.0,2.2,1.7,0.7,1.0,0.2,1.4,2.0,0.2,0.9,1.3,0,0.5,0.5,0.5,1.6,2.1,0
85,雲林縣,1.9,1.9,1.8,6.0,3.8,8.8,5.1,5.9,4.3,3.2,3.4,2.8,1.4,1.4,1.6,0.8,1.1,0.2,1.2,1.5,0.8,0.9,1.0,0.7,0.8,1.1,0.4,0.4,0.7,0,0,0,0,0,0,0
85,南部區域,2.7,2.9,2.4,7.1,7.1,7.1,6.8,7.2,6.5,3.8,4.1,3.3,2.4,2.8,1.6,2.0,2.4,1.3,1.5,2.1,0.6,1.5,2.0,0.6,1.1,1.5,0.4,1.2,1.5,0.4,0.5,0.6,0.1,0.1,0.1,0
85,高雄市,3.1,3.0,3.1,7.3,6.2,8.2,8.5,8.9,8.2,3.6,3.9,3.3,2.8,3.0,2.5,1.8,2.2,1.1,2.1,2.7,0.9,1.5,1.8,0.9,1.4,1.7,0.6,1.6,1.9,0.7,0.7,0.8,0,0,0,0
85,嘉義市,2.0,2.2,1.6,4.6,8.2,2.0,3.6,4.2,3.1,2.6,2.5,2.6,1.6,2.1,0.8,2.2,2.4,1.9,0.9,1.4,0,1.4,1.7,0.8,2.3,2.5,1.8,0,0,0,2.6,2.3,3.1,1.6,2.0,0
85,臺南市,3.5,3.9,3.1,7.3,6.4,8.3,9.0,9.7,8.5,5.8,6.6,4.7,2.6,3.1,2.0,2.8,3.4,2.1,2.1,3.1,0.6,1.7,2.3,0.8,1.4,1.7,0.9,1.4,2.0,0.3,0.1,0.2,0,0,0,0
85,嘉義縣,2.2,2.3,2.0,5.4,4.8,6.0,5.1,4.2,6.1,3.5,3.6,3.2,1.6,1.9,0.8,2.0,2.4,1.0,1.6,2.1,0.6,1.1,1.7,0,1.0,1.2,0.8,0.2,0.3,0.1,0.7,1.0,0,0,0,0
85,臺南縣,2.2,2.2,2.2,6.7,6.7,6.7,5.6,5.9,5.4,3.7,3.5,4.0,1.7,1.7,1.8,1.9,2.3,1.3,0.8,1.0,0.4,1.0,1.4,0.2,0.6,0.8,0.1,1.4,1.9,0.4,0.6,1.0,0,0,0,0
85,高雄縣,2.8,3.4,2.0,6.9,8.4,5.5,7.1,8.5,6.1,3.5,4.9,1.6,2.9,4.1,1.0,1.6,1.9,1.2,1.5,2.0,0.8,1.9,2.5,0.9,1.2,1.9,0,1.2,1.6,0.4,0,0,0,0,0,0
85,屏東縣,2.6,2.8,2.4,8.8,8.5,9.2,5.8,6.3,5.4,3.4,2.8,4.5,2.5,3.1,1.4,2.0,2.6,1.0,1.2,1.8,0.2,1.9,2.7,0.4,1.0,1.4,0.2,1.5,1.8,0.7,0.2,0.3,0,0,0,0
85,澎湖縣,1.9,2.0,1.5,11.1,11.9,10.0,2.3,2.8,1.8,2.7,3.8,0.6,1.6,2.3,0,1.7,1.8,1.5,0,0,0,0.2,0.3,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0
85,東部區域,3.4,3.6,3.1,9.9,9.5,10.3,6.6,7.0,6.3,4.9,5.0,4.7,2.9,3.3,2.1,2.9,3.2,2.2,1.9,2.5,0.8,2.4,3.2,1.0,1.6,2.1,0.7,1.8,2.5,0,1.8,2.3,0.4,0,0,0
85,臺東縣,3.4,3.3,3.6,12.1,10.6,13.7,8.4,8.7,8.2,4.3,4.0,4.9,2.9,3.2,2.2,2.7,2.9,2.3,1.2,1.7,0.3,2.1,2.8,1.1,1.6,1.7,1.6,0.7,1.1,0,1.3,1.5,0.7,0,0,0
85,花蓮縣,3.4,3.9,2.7,7.8,8.3,7.3,5.2,5.6,4.9,5.3,5.8,4.5,2.9,3.3,2.0,3.0,3.5,2.2,2.3,3.0,1.1,2.6,3.6,0.9,1.7,2.5,0,2.7,3.7,0,2.4,3.0,0,0,0,0
86,臺灣地區,2.72,2.94,2.37,7.35,6.52,8.25,6.76,7.46,6.23,3.68,4.11,3.09,2.15,2.64,1.34,1.84,2.33,1.05,1.63,2.08,0.89,1.61,2.10,0.73,1.76,2.34,0.53,1.31,1.71,0.31,0.80,1.01,0.21,0.28,0.32,0.12
86,北部區域,2.7,3.0,2.3,6.7,6.1,7.4,6.5,7.5,5.9,3.7,4.3,2.9,2.1,2.6,1.4,1.8,2.3,1.1,1.6,2.0,1.0,1.6,2.0,0.9,2.0,2.6,0.7,1.8,2.3,0.2,1.2,1.4,0.5,0.5,0.6,0.2
86,臺北市,2.9,3.2,2.5,7.9,7.7,8.2,8.1,8.5,7.9,4.4,5.6,3.3,2.7,3.2,2.0,2.2,2.5,1.7,1.4,1.8,0.9,1.8,2.2,1.1,2.1,2.7,1.1,2.0,2.8,0,1.1,1.3,0.5,0.4,0.5,0
86,基隆市,4.0,4.7,2.9,9.9,7.7,12.2,8.5,12.2,6.1,5.9,6.6,4.8,2.9,4.1,0.7,2.9,4.1,0.7,2.4,3.3,0.8,2.6,3.3,1.2,1.7,2.2,0,2.2,2.8,0,1.2,1.5,0,1.7,2.1,0
86,新竹市,2.1,2.4,1.8,6.2,4.8,8.0,4.4,5.0,4.0,2.4,2.4,2.4,1.6,2.2,0.9,1.0,1.4,0.5,1.8,2.4,1.1,2.3,3.4,0.6,2.2,2.8,1.1,0.7,1.0,0,0.9,1.2,0,0.4,0,2.2
86,臺北縣,2.7,3.0,2.3,6.2,6.0,6.5,6.1,6.8,5.5,3.7,4.1,3.1,1.7,2.1,1.2,1.5,2.1,0.7,1.8,2.2,1.2,1.6,2.0,0.9,2.7,3.5,0.8,2.2,2.8,0.5,1.5,1.6,0.9,1.0,1.1,0
86,宜蘭縣,3.3,3.7,2.5,7.1,5.3,9.0,7.4,10.3,5.1,4.5,5.1,3.5,2.5,2.7,2.0,2.2,3.1,0.7,2.3,3.1,1.0,1.7,2.2,0.8,2.4,3.5,0,2.1,2.7,0,1.2,1.6,0,0.7,0.8,0
86,桃園縣,2.3,2.5,2.0,6.7,5.7,7.7,6.3,7.2,5.7,2.5,3.0,1.9,2.1,2.9,0.9,1.8,2.3,1.0,1.2,1.7,0.5,0.7,0.9,0.4,0.6,0.8,0,0.9,1.1,0,1.0,1.2,0,0,0,0
86,新竹縣,1.5,1.7,1.2,4.4,4.9,3.9,3.3,4.6,2.3,2.1,2.9,0.9,1.0,1.2,0.7,1.4,1.6,1.2,0.6,0.3,1.1,1.1,1.6,0.3,0.5,0.7,0,1.0,1.3,0,0.7,0.7,1.0,0,0,0
86,中部區域,2.4,2.4,2.3,6.7,5.9,7.7,6.2,6.4,6.0,3.3,3.6,3.0,1.9,2.3,1.0,1.4,1.8,0.8,1.2,1.6,0.5,1.2,1.6,0.5,1.2,1.5,0.6,0.8,1.0,0.3,0.6,0.8,0.2,0.3,0.3,0.2
86,臺中市,2.9,3.1,2.6,10.4,9.2,11.6,6.8,7.1,6.6,5.0,6.1,3.9,2.5,3.2,1.6,1.6,2.3,0.6,1.5,1.9,1.0,1.1,1.6,0.2,0.6,0.8,0.4,0.7,1.0,0,0.7,0.9,0,1.0,0.8,2.0
86,苗栗縣,2.2,2.2,2.2,5.9,4.0,7.6,5.6,6.5,4.8,2.6,2.8,2.4,2.0,2.8,0.4,1.8,1.6,2.0,1.0,1.3,0.6,1.3,1.1,1.7,1.7,2.0,1.1,0.8,1.0,0,0.4,0.6,0,0.4,0.4,0
86,臺中縣,2.7,2.8,2.4,6.5,6.3,6.8,6.1,7.2,5.3,3.8,3.9,3.7,1.8,2.3,0.9,1.6,1.8,1.2,1.4,2.1,0.2,1.3,1.9,0.1,1.6,1.7,1.3,1.4,1.4,1.3,1.2,1.6,0,0,0,0
86,彰化縣,1.9,1.9,1.9,4.8,4.7,4.8,5.7,5.7,5.8,2.6,2.6,2.5,1.1,1.3,0.7,1.0,1.3,0.4,0.9,1.1,0.4,1.1,1.5,0.2,1.0,1.4,0,0.7,0.9,0.2,0.5,0.6,0.4,0.4,0.5,0
86,南投縣,2.6,2.7,2.5,5.8,4.0,7.5,7.3,6.6,8.0,3.4,3.6,3.0,2.6,3.3,1.3,1.8,2.6,0.2,1.4,2.0,0.4,1.3,1.1,1.5,2.0,2.7,0.8,0.6,0.9,0,1.2,1.5,0.4,0.3,0.4,0
86,雲林縣,2.0,1.9,2.1,9.0,6.5,12.4,6.1,5.2,6.9,2.2,2.7,1.2,1.8,2.0,1.4,1.1,1.6,0.1,0.7,0.8,0.4,1.1,1.5,0.4,0.7,0.9,0.3,0.3,0.5,0,0,0,0,0,0,0
