時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
100年 5月	0	0	0	0	0	0	0	 5 	 6 
100年 6月	0	0	0	 2 	0	0	0	 5 	 25 
100年 7月	0	0	0	0	0	0	0	 4 	 7 
100年 8月	0	0	0	 2 	 1 	0	0	 4 	 17 
100年 9月	0	0	0	 1 	0	0	0	 4 	 16 
100年 10月	0	0	0	0	0	0	0	 6 	 7 
100年 11月	0	0	0	 1 	0	0	0	 1 	 14 
100年 12月	0	0	0	0	0	0	0	 10 	 5 
101年	 2 	0	0	 6 	0	 1 	0	 36 	 90 
101年 1月	0	0	0	0	0	0	0	 5 	 5 
101年 2月	 1 	0	0	0	0	0	0	 3 	 10 
101年 3月	0	0	0	 2 	0	0	0	 1 	 11 
101年 4月	0	0	0	0	0	0	0	 4 	 7 
101年 5月	0	0	0	 1 	0	0	0	 1 	 1 
101年 6月	0	0	0	0	0	0	0	 8 	 9 
101年 7月	0	0	0	0	0	0	0	 3 	 11 
101年 8月	 1 	0	0	0	0	 1 	0	 1 	 11 
101年 9月	0	0	0	0	0	0	0	 1 	 7 
101年 10月	0	0	0	0	0	0	0	 8 	 6 
101年 11月	0	0	0	 1 	0	0	0	 1 	 9 
101年 12月	0	0	0	 2 	0	0	0	0	 3 
102年	 1 	0	0	 6 	0	0	0	 36 	 96 
102年 1月	0	0	0	0	0	0	0	0	 4 
102年 2月	0	0	0	 1 	0	0	0	 14 	 9 
102年 3月	 1 	0	0	0	0	0	0	 4 	 4 
102年 4月	0	0	0	 1 	0	0	0	 2 	 6 
102年 5月	0	0	0	 2 	0	0	0	 3 	 6 
102年 6月	0	0	0	 1 	0	0	0	 3 	 10 
102年 7月	0	0	0	0	0	0	0	 3 	 14 
102年 8月	0	0	0	0	0	0	0	 2 	 11 
102年 9月	0	0	0	0	0	0	0	 1 	 10 
102年 10月	0	0	0	0	0	0	0	 4 	 10 
102年 11月	0	0	0	0	0	0	0	0	 6 
102年 12月	0	0	0	 1 	0	0	0	0	 6 
103年	0	0	0	 1 	0	0	0	 37 	 121 
103年 1月	0	0	0	0	0	0	0	 14 	 5 
103年 2月	0	0	0	0	0	0	0	 6 	 8 
103年 3月	0	0	0	0	0	0	0	 2 	 5 
103年 4月	0	0	0	0	0	0	0	 2 	 12 
103年 5月	0	0	0	0	0	0	0	 4 	 6 
103年 6月	0	0	0	0	0	0	0	 2 	 7 
103年 7月	0	0	0	0	0	0	0	 5 	 12 
103年 8月	0	0	0	 1 	0	0	0	 1 	 14 
103年 9月	0	0	0	0	0	0	0	 1 	 14 
103年 10月	0	0	0	0	0	0	0	0	 11 
103年 11月	0	0	0	0	0	0	0	0	 12 
103年 12月	0	0	0	0	0	0	0	0	 15 
104年	0	0	0	 2 	0	0	0	 36 	 159 
104年 1月	0	0	0	0	0	0	0	 2 	 7 
104年 2月	0	0	0	0	0	0	0	 10 	 18 
104年 3月	0	0	0	0	0	0	0	0	 10 
104年 4月	0	0	0	0	0	0	0	 4 	 11 
104年 5月	0	0	0	0	0	0	0	 1 	 11 
104年 6月	0	0	0	 1 	0	0	0	 3 	 23 
104年 7月	0	0	0	0	0	0	0	 2 	 10 
104年 8月	0	0	0	0	0	0	0	 6 	 12 
104年 9月	0	0	0	0	0	0	0	 2 	 15 
104年 10月	0	0	0	 1 	0	0	0	 4 	 15 
104年 11月	0	0	0	0	0	0	0	0	 17 
104年 12月	0	0	0	0	0	0	0	 2 	 10 
105年	 1 	0	0	 6 	0	 2 	0	 45 	 154 
105年 1月	0	0	0	0	0	0	0	 8 	 15 
105年 2月	0	0	0	0	0	0	0	 5 	 15 
105年 3月	0	0	0	0	0	 1 	0	 2 	 18 
105年 4月	0	0	0	0	0	0	0	 3 	 9 
105年 5月	0	0	0	 1 	0	 1 	0	 4 	 11 
105年 6月	0	0	0	 2 	0	0	0	0	 12 
105年 7月	0	0	0	0	0	0	0	 6 	 20 
105年 8月	0	0	0	 1 	0	0	0	 2 	 16 
105年 9月	0	0	0	0	0	0	0	 2 	 9 
105年 10月	0	0	0	0	0	0	0	 3 	 7 
105年 11月	 1 	0	0	 1 	0	0	0	 4 	 15 
105年 12月	0	0	0	 1 	0	0	0	 6 	 7 
