時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
99年	 24 	0	 24 	 4 	 2 	0	 2 	0	0
99年 1月	 2 	0	0	0	0	0	0	0	0
99年 2月	 2 	0	0	0	0	0	0	0	0
99年 3月	 1 	0	0	 1 	0	0	0	0	0
99年 4月	 4 	0	0	0	0	0	0	0	0
99年 5月	 1 	0	 5 	0	0	0	0	0	0
99年 6月	 1 	0	 18 	0	0	0	0	0	0
99年 7月	 6 	0	 1 	0	0	0	0	0	0
99年 8月	0	0	0	 1 	 2 	0	0	0	0
99年 9月	 5 	0	0	 1 	0	0	 1 	0	0
99年 10月	0	0	0	 1 	0	0	 1 	0	0
99年 11月	 2 	0	0	0	0	0	0	0	0
99年 12月	0	0	0	0	0	0	0	0	0
100年	 44 	 1 	 1 	 7 	 3 	0	 3 	0	0
100年 1月	 3 	0	0	 2 	0	0	0	0	0
100年 2月	 1 	0	0	0	0	0	0	0	0
100年 3月	 2 	0	0	0	0	0	 1 	0	0
100年 4月	 3 	0	0	 1 	0	0	0	0	0
100年 5月	 7 	0	0	0	 1 	0	0	0	0
100年 6月	 5 	 1 	0	0	0	0	0	0	0
100年 7月	 5 	0	0	0	0	0	0	0	0
100年 8月	 1 	0	0	 1 	0	0	0	0	0
100年 9月	 5 	0	0	 1 	0	0	 1 	0	0
100年 10月	 6 	0	0	0	 1 	0	0	0	0
100年 11月	 5 	0	0	 1 	 1 	0	 1 	0	0
100年 12月	 1 	0	 1 	 1 	0	0	0	0	0
101年	 39 	0	 4 	 1 	0	0	 1 	0	0
101年 1月	 2 	0	 3 	0	0	0	0	0	0
101年 2月	 5 	0	0	0	0	0	0	0	0
101年 3月	 1 	0	 1 	0	0	0	0	0	0
101年 4月	 5 	0	0	0	0	0	0	0	0
101年 5月	 10 	0	0	0	0	0	0	0	0
101年 6月	 5 	0	0	0	0	0	0	0	0
101年 7月	0	0	0	0	0	0	0	0	0
101年 8月	 1 	0	0	0	0	0	0	0	0
101年 9月	 3 	0	0	0	0	0	0	0	0
101年 10月	 4 	0	0	0	0	0	 1 	0	0
101年 11月	 1 	0	0	0	0	0	0	0	0
101年 12月	 2 	0	0	 1 	0	0	0	0	0
102年	 33 	0	0	 2 	 2 	0	 1 	0	 1 
102年 1月	 3 	0	0	0	0	0	0	0	0
102年 2月	 2 	0	0	0	0	0	0	0	0
102年 3月	 7 	0	0	0	 1 	0	0	0	0
102年 4月	 6 	0	0	 1 	0	0	 1 	0	0
102年 5月	0	0	0	0	0	0	0	0	0
102年 6月	 3 	0	0	0	0	0	0	0	 1 
102年 7月	 1 	0	0	 1 	0	0	0	0	0
102年 8月	 3 	0	0	0	 1 	0	0	0	0
102年 9月	 1 	0	0	0	0	0	0	0	0
102年 10月	 4 	0	0	0	0	0	0	0	0
102年 11月	 2 	0	0	0	0	0	0	0	0
102年 12月	 1 	0	0	0	0	0	0	0	0
103年	 38 	0	 43 	 3 	 1 	0	0	0	0
103年 1月	 6 	0	0	0	0	0	0	0	0
103年 2月	 1 	0	0	0	0	0	0	0	0
103年 3月	 4 	0	0	0	0	0	0	0	0
103年 4月	 1 	0	0	0	0	0	0	0	0
103年 5月	 2 	0	0	 1 	0	0	0	0	0
103年 6月	 1 	0	0	0	0	0	0	0	0
103年 7月	 3 	0	0	0	0	0	0	0	0
103年 8月	 3 	0	0	 1 	0	0	0	0	0
103年 9月	 5 	0	 2 	0	0	0	0	0	0
103年 10月	 6 	0	 9 	0	0	0	0	0	0
103年 11月	 1 	0	 12 	 1 	0	0	0	0	0
103年 12月	 5 	0	 20 	0	 1 	0	0	0	0
104年	 46 	 1 	 4 	 5 	0	0	0	0	0
104年 1月	 4 	0	 3 	0	0	0	0	0	0
104年 2月	 8 	0	0	0	0	0	0	0	0
104年 3月	 5 	0	0	0	0	0	0	0	0
104年 4月	 2 	0	0	 1 	0	0	0	0	0
104年 5月	 2 	0	0	 1 	0	0	0	0	0
104年 6月	 4 	0	0	0	0	0	0	0	0
104年 7月	 2 	0	 1 	 2 	0	0	0	0	0
104年 8月	 5 	0	0	 1 	0	0	0	0	0
104年 9月	 6 	 1 	0	0	0	0	0	0	0
104年 10月	 3 	0	0	0	0	0	0	0	0
104年 11月	 4 	0	0	0	0	0	0	0	0
104年 12月	 1 	0	0	0	0	0	0	0	0
105年	 58 	0	 7 	 5 	 1 	0	0	0	0
105年 1月	 6 	0	 7 	0	0	0	0	0	0
105年 2月	 7 	0	0	 1 	 1 	0	0	0	0
105年 3月	 4 	0	0	0	0	0	0	0	0
105年 4月	 3 	0	0	 1 	0	0	0	0	0
105年 5月	 5 	0	0	0	0	0	0	0	0
105年 6月	 6 	0	0	 1 	0	0	0	0	0
105年 7月	 7 	0	0	0	0	0	0	0	0
105年 8月	 3 	0	0	0	0	0	0	0	0
105年 9月	 2 	0	0	 1 	0	0	0	0	0
105年 10月	 6 	0	0	0	0	0	0	0	0
105年 11月	 2 	0	0	0	0	0	0	0	0
105年 12月	 7 	0	0	 1 	0	0	0	0	0
