,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
104,97年,臺中市(99年改制前)," 9,794 ", 973 ,40,325,0,76," 2,145 ",70,25,2,29,11,146,71,5,12,63,1,110,1,54,108," 1,823 ",513,11,1,30,14,27,49,206,0,642,2,1,0,0,0,1,154,0,180," 1,011 ",0,28,2,0,4,1,2,2,0,0,3,0,0,14,0,0,0,112,0,220
117,98年,臺中市(99年改制前)," 6,365 ", 557 ,43,231,2,59," 1,836 ",73,16,2,24,11,143,41,5,14,99,0,63,2,37,68," 1,355 ",560,22,1,21,8,29,44,184,0,552,6,2,0,2,0,0,168,0,134, 648 ,0,36,1,1,13,0,0,1,0,0,8,0,0,8,0,0,0,91,0,208
130,99年,臺中市(99年改制前)," 5,592 ", 430 ,39,317,0,60," 1,050 ",78,20,0,15,9,173,42,1,11,119,4,45,1,37,60," 1,006 ",698,60,0,16,17,16,43,73,0,429,5,1,0,37,0,0,81,0,117, 633 ,0,40,0,15,12,2,0,0,0,0,3,0,0,7,0,0,0,85,0,149
143,100年,臺中市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,101年,臺中市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,102年,臺中市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,103年,臺中市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,104年,臺中市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,105年,臺中市(99年改制前),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,89年,臺南市," 5,980 "," 1,061 ",93,193,3,724, 233 ,186,139,0, 306 ,74,112,84,3,25,37,2,291,5,84,335, 876 ," 1,906 ",2,0,99,48,0,171,95,0,224,21,1,5,4,0,0,153,21,59," 1,034 ",0,12,137,0,2,10,1,1,28,0,9,0,0,57,0,3,0,155,38,403
13,90年,臺南市," 7,384 "," 1,605 ",96,202,2,826, 200 ,189,118,5, 276 ,65,202,142,3,21,61,0,215,2,109,159," 1,002 ", 969 ,1,0,110,35,0,211,214,0,72,20,9,8,2,0,0,248,5,25," 1,452 ",1,13,165,12,2,7,0,0,11,0,34,0,1,79,2,1,0,128,219,345
26,91年,臺南市," 8,662 "," 1,813 ",92,205,1,739, 389 ,164,128,7, 249 ,38,210,124,1,18,31,3,372,5,140,168, 941 , 370 ,6,0,80,20,0,247,193,0,74,18,25,2,1,0,1,134,8,52," 1,330 ",0,32,18,107,1,1,1,2,6,12,17,0,0,55,1,1,0,113,233,597
39,92年,臺南市," 8,441 "," 1,586 ",152,143,2,672," 1,063 ",125,119,4, 260 ,34,160,112,7,21,29,2,334,2,195,218," 1,090 ", 397 ,7,0,80,27,0,257,196,0,350,15,14,3,6,0,3,103,5,58," 1,858 ",0,38,4,2,2,4,0,2,1,36,27,0,0,66,2,0,0,134,264,960
52,93年,臺南市," 7,614 "," 1,054 ",165,129,1,443, 861 ,85,77,4, 217 ,19,134,120,5,12,40,0,251,4,101,155," 1,544 ", 491 ,14,0,62,21,0,183,168,0,251,10,3,1,0,0,1,62,0,79," 1,642 ",0,20,1,35,2,5,0,0,1,12,16,0,0,55,0,4,0,179,224,945
65,94年,臺南市," 8,354 "," 1,257 ",64,113,5,492," 2,056 ",137,54,6, 253 ,23,126,147,1,18,44,1,88,2,112,133," 1,809 ", 702 ,24,0,85,29,56,230,200,0,163,28,4,1,1,0,0,53,0,91," 1,683 ",0,31,1,59,2,11,0,1,0,2,15,0,0,38,0,1,2,171,138,819
78,95年,臺南市," 8,528 "," 1,123 ",64,366,3,587," 2,072 ",181,59,3, 554 ,23,207,93,5,19,44,4,149,8,176,174," 2,417 ", 573 ,29,0,115,35,71,210,101,0,208,23,3,14,4,0,4,86,0,76," 2,485 ",0,44,2,29,2,9,0,0,4,0,11,0,1,67,2,2,1,173,5,819
91,96年,臺南市," 7,780 ", 849 ,51,302,0,716," 2,678 ",204,49,2, 872 ,37,195,121,4,10,44,2,206,3,151,227," 2,384 ", 786 ,27,0,197,42,94,147,137,0,182,26,4,4,2,0,3,133,0,83," 3,516 ",1,73,3,2,1,9,0,1,4,3,11,0,1,61,0,1,1,109,0,863
