時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
104年 12月	 335 	 15 	 3 	 34 	 3 	 68 	 160 	 56 	 3 
105年	 4,587 	 232 	 54 	 982 	0	 722 	 1,409 	 500 	 46 
105年 1月	 342 	 19 	 1 	 35 	0	 56 	 112 	 33 	 4 
105年 2月	 320 	 19 	 3 	 542 	0	 53 	 83 	 35 	 4 
105年 3月	 463 	 39 	 4 	 62 	0	 53 	 136 	 51 	 3 
105年 4月	 378 	 15 	 2 	 40 	0	 44 	 115 	 42 	 5 
105年 5月	 429 	 27 	0	 74 	0	 87 	 139 	 42 	 6 
105年 6月	 376 	 16 	 3 	 23 	0	 57 	 161 	 37 	 2 
105年 7月	 377 	 18 	 1 	 28 	0	 46 	 112 	 38 	 5 
105年 8月	 428 	 29 	 3 	 29 	0	 77 	 108 	 44 	 3 
105年 9月	 327 	 9 	0	 45 	0	 53 	 87 	 48 	0
105年 10月	 398 	 19 	 30 	 47 	0	 63 	 118 	 46 	 5 
105年 11月	 405 	 14 	 3 	 32 	0	 66 	 118 	 40 	 5 
105年 12月	 344 	 8 	 4 	 25 	0	 67 	 120 	 44 	 4 
