時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
94年	 3 	 318 	 56 	 359 	 182 	 3 	 34 	 90 	 3 
94年 1月	0	 19 	 2 	 46 	 11 	0	 2 	 4 	0
94年 2月	 1 	 20 	 4 	 21 	 14 	0	 3 	 4 	0
94年 3月	0	 35 	 7 	 26 	 14 	 1 	 3 	 13 	 1 
94年 4月	0	 28 	 4 	 46 	 15 	0	 1 	 5 	0
94年 5月	0	 27 	 6 	 35 	 23 	0	 8 	 7 	0
94年 6月	0	 22 	 4 	 35 	 25 	0	 5 	 9 	0
94年 7月	0	 28 	 4 	 31 	 9 	 1 	 6 	 4 	0
94年 8月	0	 27 	 2 	 33 	 19 	 1 	 2 	 10 	 1 
94年 9月	 1 	 29 	 4 	 23 	 10 	0	0	 3 	0
94年 10月	0	 26 	 4 	 16 	 12 	0	 2 	 7 	0
94年 11月	 1 	 33 	 7 	 20 	 17 	0	0	 13 	 1 
94年 12月	0	 24 	 8 	 27 	 13 	0	 2 	 11 	0
95年	 6 	 370 	 55 	 237 	 146 	 7 	 31 	 99 	0
95年 1月	 2 	 26 	 6 	 35 	 14 	0	 2 	 8 	0
95年 2月	0	 24 	 3 	 12 	 8 	 1 	 3 	 5 	0
95年 3月	0	 42 	 5 	 10 	 14 	0	0	 5 	0
95年 4月	0	 34 	 5 	 25 	 8 	 1 	 3 	 10 	0
95年 5月	 1 	 34 	 1 	 34 	 11 	 1 	 3 	 3 	0
95年 6月	0	 25 	 2 	 24 	 17 	 2 	 2 	 14 	0
95年 7月	0	 32 	 3 	 12 	 12 	0	 2 	 13 	0
95年 8月	0	 34 	 6 	 17 	 9 	0	 4 	 9 	0
95年 9月	 1 	 33 	 6 	 22 	 20 	 1 	 3 	 5 	0
95年 10月	 1 	 28 	 7 	 10 	 8 	0	 2 	 8 	0
95年 11月	 1 	 22 	 6 	 24 	 15 	0	 3 	 10 	0
95年 12月	0	 36 	 5 	 12 	 10 	 1 	 4 	 9 	0
96年	 10 	 349 	 42 	 474 	 187 	 5 	 32 	 99 	 6 
96年 1月	 1 	 38 	 5 	 32 	 7 	0	 1 	 6 	0
96年 2月	 1 	 14 	 4 	 18 	 23 	0	 3 	 7 	0
96年 3月	0	 30 	 2 	 26 	 19 	 2 	 4 	 5 	 6 
96年 4月	0	 30 	 2 	 28 	 19 	0	 2 	 11 	0
96年 5月	 2 	 30 	 4 	 37 	 13 	0	 1 	 10 	0
96年 6月	0	 39 	 5 	 51 	 11 	 2 	 5 	 13 	0
96年 7月	0	 45 	 6 	 82 	 18 	0	 2 	 9 	0
96年 8月	 2 	 29 	 2 	 45 	 16 	0	 4 	 9 	0
96年 9月	 1 	 34 	 6 	 60 	 10 	0	 4 	 10 	0
96年 10月	 1 	 23 	 2 	 35 	 16 	0	 4 	 9 	0
96年 11月	 1 	 19 	 2 	 38 	 15 	0	 1 	 5 	0
96年 12月	 1 	 18 	 2 	 22 	 20 	 1 	 1 	 5 	0
97年	 3 	 217 	 31 	 377 	 182 	 11 	 41 	 112 	 1 
97年 1月	0	 19 	 4 	 36 	 15 	 1 	 6 	 8 	0
97年 2月	0	 8 	0	 36 	 16 	 1 	 3 	 4 	0
97年 3月	 1 	 11 	 5 	 29 	 18 	0	 5 	 9 	0
97年 4月	0	 23 	 1 	 30 	 10 	 1 	 2 	 12 	0
97年 5月	0	 14 	 2 	 24 	 17 	 2 	 3 	 10 	0
97年 6月	0	 12 	 1 	 28 	 18 	 3 	 6 	 9 	0
97年 7月	 2 	 15 	 1 	 45 	 20 	 1 	 2 	 11 	0
97年 8月	0	 17 	 2 	 47 	 11 	0	 3 	 6 	0
97年 9月	0	 24 	 3 	 29 	 14 	0	 1 	 10 	0
97年 10月	0	 26 	 4 	 36 	 19 	 2 	 3 	 13 	0
97年 11月	0	 31 	 4 	 28 	 13 	0	 5 	 13 	0
97年 12月	0	 17 	 4 	 9 	 11 	0	 2 	 7 	 1 
98年	 4 	 139 	 24 	 274 	 98 	 14 	 32 	 154 	0
98年 1月	0	 11 	 1 	 33 	 8 	0	 3 	 9 	0
98年 2月	 2 	 22 	 2 	 25 	 9 	 1 	 5 	 12 	0
98年 3月	0	 21 	 3 	 29 	 4 	 1 	 3 	 9 	0
98年 4月	0	 17 	 2 	 34 	 6 	 1 	 2 	 12 	0
98年 5月	0	 9 	 3 	 19 	 5 	 1 	 5 	 16 	0
98年 6月	0	 10 	0	 15 	 5 	 2 	 5 	 15 	0
98年 7月	0	 9 	 1 	 21 	 5 	 2 	0	 7 	0
98年 8月	0	 5 	 4 	 17 	 10 	 1 	 2 	 15 	0
98年 9月	0	 9 	 5 	 25 	 10 	 3 	 3 	 14 	0
98年 10月	 2 	 9 	 1 	 14 	 16 	0	 2 	 17 	0
98年 11月	0	 12 	 1 	 33 	 14 	0	 1 	 20 	0
98年 12月	0	 5 	 1 	 9 	 6 	 2 	 1 	 8 	0
99年	 2 	 187 	 30 	 245 	 82 	 5 	 46 	 229 	 4 
99年 1月	0	 14 	 1 	 12 	 6 	 1 	 2 	 12 	 1 
99年 2月	0	 16 	 2 	 10 	 8 	0	 1 	 15 	0
99年 3月	0	 25 	 3 	 27 	 9 	0	 2 	 13 	0
99年 4月	0	 16 	 1 	 28 	 16 	 1 	 3 	 17 	0
99年 5月	 1 	 21 	 1 	 16 	 10 	 1 	 5 	 21 	 1 
99年 6月	0	 29 	 3 	 20 	 12 	0	 4 	 23 	0
99年 7月	0	 10 	 3 	 23 	 7 	 1 	 3 	 27 	0
99年 8月	0	 16 	 5 	 37 	 5 	0	 5 	 21 	0
99年 9月	0	 12 	 3 	 27 	 2 	 1 	 2 	 27 	 2 
99年 10月	 1 	 10 	 2 	 19 	 1 	0	 8 	 21 	0
99年 11月	0	 9 	 3 	 22 	 3 	0	 4 	 22 	0
99年 12月	0	 9 	 3 	 4 	 3 	0	 7 	 10 	0
100年	 10 	 144 	 32 	 277 	 92 	0	 77 	 369 	0
100年 1月	0	 14 	 1 	 11 	 2 	0	0	 23 	0
100年 2月	0	 14 	 1 	 17 	0	0	 3 	 19 	0
100年 3月	 1 	 14 	 4 	 50 	 2 	0	 1 	 45 	0
100年 4月	 1 	 18 	 2 	 32 	 3 	0	 1 	 29 	0
100年 5月	 1 	 12 	 3 	 26 	 1 	0	 10 	 33 	0
100年 6月	 1 	 9 	 5 	 22 	 2 	0	 11 	 36 	0
100年 7月	 2 	 10 	 1 	 26 	 5 	0	 17 	 26 	0
100年 8月	 2 	 13 	 4 	 28 	 4 	0	 16 	 26 	0
100年 9月	0	 10 	 1 	 27 	 16 	0	 7 	 33 	0
100年 10月	 1 	 10 	 2 	 18 	 20 	0	 1 	 25 	0
100年 11月	0	 15 	 1 	 13 	 17 	0	 8 	 37 	0
100年 12月	 1 	 5 	 7 	 7 	 20 	0	 2 	 37 	0
101年	 7 	 347 	 55 	 252 	 99 	 2 	 43 	 413 	 1 
101年 1月	0	 8 	 3 	 8 	 3 	0	0	 34 	0
101年 2月	0	 11 	 3 	 10 	 7 	0	 1 	 31 	0
101年 3月	 1 	 28 	 6 	 21 	 6 	 1 	 6 	 27 	0
101年 4月	 1 	 29 	 4 	 18 	 13 	 1 	 6 	 43 	0
101年 5月	0	 32 	 3 	 33 	 20 	0	 6 	 32 	0
101年 6月	 1 	 24 	 1 	 19 	 9 	0	 2 	 29 	0
101年 7月	0	 40 	 1 	 28 	 15 	0	 6 	 30 	0
101年 8月	0	 27 	 8 	 33 	 9 	0	 4 	 36 	0
101年 9月	0	 28 	 3 	 25 	 5 	0	 4 	 28 	 1 
101年 10月	 1 	 35 	 7 	 14 	 3 	0	 2 	 44 	0
101年 11月	 2 	 35 	 6 	 25 	 7 	0	 3 	 40 	0
101年 12月	 1 	 50 	 10 	 18 	 2 	0	 3 	 39 	0
102年	 1 	 453 	 40 	 282 	 50 	 2 	 15 	 407 	0
102年 1月	0	 30 	 6 	 16 	 3 	0	 2 	 33 	0
102年 2月	 1 	 20 	0	 8 	 3 	0	 3 	 22 	0
102年 3月	0	 50 	 4 	 33 	 6 	0	 1 	 48 	0
102年 4月	0	 45 	 3 	 21 	 5 	0	 1 	 43 	0
102年 5月	0	 41 	 4 	 26 	 5 	 1 	 2 	 36 	0
102年 6月	0	 35 	 5 	 24 	 9 	0	 1 	 43 	0
102年 7月	0	 35 	 2 	 25 	 3 	0	 2 	 43 	0
102年 8月	0	 36 	 3 	 18 	 5 	0	 1 	 32 	0
102年 9月	0	 39 	 3 	 32 	 4 	0	0	 32 	0
102年 10月	0	 44 	 3 	 22 	 3 	0	 1 	 29 	0
102年 11月	0	 38 	 3 	 29 	 1 	 1 	 1 	 22 	0
102年 12月	0	 40 	 4 	 28 	 3 	0	0	 24 	0
103年	0	 293 	 33 	 313 	 34 	 1 	 9 	 406 	0
103年 1月	0	 33 	 2 	 19 	 5 	0	0	 41 	0
103年 2月	0	 30 	 1 	 17 	0	0	 1 	 26 	0
103年 3月	0	 46 	 5 	 28 	 3 	0	0	 30 	0
103年 4月	0	 22 	 3 	 37 	 3 	0	 1 	 38 	0
103年 5月	0	 24 	 1 	 36 	 5 	0	 1 	 33 	0
103年 6月	0	 15 	 2 	 36 	 1 	0	0	 26 	0
103年 7月	0	 16 	 1 	 21 	 4 	0	 2 	 39 	0
103年 8月	0	 9 	 5 	 40 	 2 	0	0	 40 	0
103年 9月	0	 22 	 6 	 35 	 3 	0	 1 	 37 	0
103年 10月	0	 22 	 2 	 20 	 3 	0	 2 	 29 	0
103年 11月	0	 23 	 2 	 12 	 2 	 1 	 1 	 36 	0
103年 12月	0	 31 	 3 	 12 	 3 	0	0	 31 	0
104年	 3 	 282 	 27 	 391 	 40 	 2 	 10 	 443 	0
104年 1月	0	 31 	0	 29 	 5 	0	 5 	 28 	0
104年 2月	0	 22 	0	 19 	 1 	0	0	 29 	0
104年 3月	 1 	 28 	 4 	 48 	 2 	0	0	 25 	0
104年 4月	 1 	 23 	 4 	 60 	 2 	0	0	 32 	0
104年 5月	 1 	 21 	 2 	 49 	 3 	0	 1 	 36 	0
104年 6月	0	 10 	 1 	 76 	 4 	0	 1 	 34 	0
104年 7月	0	 25 	 2 	 15 	 3 	 1 	0	 43 	0
104年 8月	0	 27 	 4 	 36 	 5 	 1 	 1 	 44 	0
104年 9月	0	 17 	 3 	 24 	 3 	0	0	 38 	0
104年 10月	0	 15 	 3 	 17 	 6 	0	 1 	 37 	0
104年 11月	0	 31 	 2 	 13 	 5 	0	0	 48 	0
104年 12月	0	 32 	 2 	 5 	 1 	0	 1 	 49 	0
105年	 1 	 230 	 38 	 301 	 49 	 1 	 4 	 507 	0
105年 1月	0	 21 	 2 	 35 	 3 	0	0	 51 	0
105年 2月	0	 21 	 1 	 18 	 1 	0	0	 31 	0
105年 3月	0	 20 	 4 	 43 	 2 	0	0	 39 	0
105年 4月	0	 31 	 6 	 32 	 6 	0	 1 	 43 	0
105年 5月	0	 34 	 4 	 29 	 7 	0	0	 48 	0
105年 6月	0	 20 	 2 	 29 	 1 	0	 2 	 33 	0
105年 7月	0	 12 	 5 	 20 	 9 	 1 	 1 	 50 	0
105年 8月	0	 21 	 5 	 22 	 6 	0	0	 61 	0
105年 9月	0	 19 	 3 	 23 	 6 	0	0	 41 	0
105年 10月	0	 8 	 3 	 20 	 1 	0	0	 32 	0
105年 11月	0	 8 	0	 16 	 3 	0	0	 43 	0
105年 12月	 1 	 15 	 3 	 14 	 4 	0	0	 35 	0
