時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
91年 8月	0	0	0	 1 	0	0	0	 11 	 20 
91年 9月	0	0	0	 1 	0	0	0	 9 	 49 
91年 10月	 1 	0	0	 1 	0	0	0	 10 	 38 
91年 11月	 1 	0	0	 2 	0	0	0	 4 	 30 
91年 12月	0	0	0	 1 	0	0	0	 8 	 39 
92年	 13 	0	 1 	 20 	0	0	0	 80 	 288 
92年 1月	 3 	0	0	 2 	0	0	0	 15 	 29 
92年 2月	 3 	0	0	 1 	0	0	0	 2 	 20 
92年 3月	0	0	0	0	0	0	0	 7 	 22 
92年 4月	 1 	0	0	 2 	0	0	0	 5 	 23 
92年 5月	 2 	0	0	 1 	0	0	0	 3 	 21 
92年 6月	0	0	0	 3 	0	0	0	 4 	 11 
92年 7月	 1 	0	0	 3 	0	0	0	 4 	 21 
92年 8月	0	0	0	 2 	0	0	0	 6 	 22 
92年 9月	 1 	0	0	 3 	0	0	0	 2 	 17 
92年 10月	0	0	 1 	 2 	0	0	0	 6 	 29 
92年 11月	 2 	0	0	 1 	0	0	0	 13 	 38 
92年 12月	0	0	0	0	0	0	0	 13 	 35 
93年	 12 	0	0	 15 	0	0	0	 150 	 329 
93年 1月	0	0	0	 2 	0	0	0	 13 	 33 
93年 2月	 2 	0	0	0	0	0	0	 12 	 46 
93年 3月	 4 	0	0	0	0	0	0	 11 	 24 
93年 4月	 1 	0	0	 1 	0	0	0	 12 	 26 
93年 5月	 1 	0	0	 1 	0	0	0	 3 	 18 
93年 6月	0	0	0	 3 	0	0	0	 15 	 29 
93年 7月	0	0	0	 2 	0	0	0	 15 	 17 
93年 8月	 3 	0	0	 1 	0	0	0	 14 	 28 
93年 9月	0	0	0	 2 	0	0	0	 12 	 32 
93年 10月	0	0	0	 2 	0	0	0	 17 	 55 
93年 11月	0	0	0	0	0	0	0	 14 	 12 
93年 12月	 1 	0	0	 1 	0	0	0	 12 	 9 
94年	 6 	0	0	 12 	0	0	 2 	 90 	 150 
94年 1月	 1 	0	0	 3 	0	0	0	 12 	 7 
94年 2月	0	0	0	0	0	0	0	 12 	 9 
94年 3月	 1 	0	0	 1 	0	0	0	 12 	 9 
94年 4月	0	0	0	 1 	0	0	0	 6 	 4 
94年 5月	 1 	0	0	0	0	0	0	 7 	 11 
94年 6月	0	0	0	0	0	0	 1 	 5 	 14 
94年 7月	0	0	0	0	0	0	0	 10 	 8 
94年 8月	 1 	0	0	 1 	0	0	 1 	 7 	 13 
94年 9月	0	0	0	 2 	0	0	0	 7 	 24 
94年 10月	0	0	0	 2 	0	0	0	 3 	 12 
94年 11月	 1 	0	0	0	0	0	0	 6 	 17 
94年 12月	 1 	0	0	 2 	0	0	0	 3 	 22 
95年	 5 	0	0	 15 	0	 1 	0	 80 	 264 
95年 1月	0	0	0	0	0	0	0	 14 	 16 
95年 2月	 1 	0	0	0	0	0	0	 5 	 48 
95年 3月	0	0	0	 2 	0	0	0	 9 	 16 
95年 4月	0	0	0	 3 	0	0	0	 6 	 9 
95年 5月	0	0	0	 3 	0	0	0	 6 	 13 
95年 6月	0	0	0	0	0	0	0	 7 	 23 
95年 7月	 1 	0	0	0	0	0	0	 3 	 31 
95年 8月	 1 	0	0	0	0	0	0	 9 	 29 
95年 9月	0	0	0	 2 	0	 1 	0	 10 	 22 
95年 10月	 2 	0	0	 1 	0	0	0	 3 	 20 
