時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
105年	 763 	 58 	 4 	 29 	 1 	 187 	 269 	 122 	 20 
105年 1月	 59 	 4 	0	 4 	0	 13 	 15 	 6 	0
105年 2月	 59 	 1 	0	 17 	0	 10 	 18 	 6 	 1 
105年 3月	 52 	 3 	0	 2 	0	 13 	 32 	 8 	0
105年 4月	 52 	 9 	0	 1 	0	 11 	 16 	 9 	0
105年 5月	 69 	 3 	0	 1 	0	 21 	 31 	 11 	0
105年 6月	 64 	 5 	 1 	 1 	0	 10 	 16 	 11 	 1 
105年 7月	 64 	 5 	0	0	0	 14 	 19 	 16 	 4 
105年 8月	 65 	 7 	 1 	0	0	 16 	 16 	 8 	 3 
105年 9月	 55 	 6 	 1 	0	0	 15 	 14 	 5 	 3 
105年 10月	 71 	 6 	 1 	 2 	0	 21 	 28 	 14 	 7 
105年 11月	 61 	 8 	0	0	0	 11 	 24 	 13 	0
105年 12月	 92 	 1 	0	 1 	 1 	 32 	 40 	 15 	 1 
