時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
97年 2月	 4 	0	0	 4 	 119 	 109 	 5 	0	0
97年 3月	 5 	0	 2 	 9 	 218 	 161 	 10 	0	0
97年 4月	 6 	0	 3 	 8 	 208 	 181 	 12 	0	0
97年 5月	 5 	0	 5 	 7 	 219 	 180 	 13 	0	0
97年 6月	 1 	 1 	 2 	 9 	 163 	 153 	 11 	0	0
97年 7月	 2 	0	 3 	 5 	 448 	 446 	 23 	0	0
97年 8月	 2 	 1 	 4 	 8 	 208 	 232 	 10 	0	0
97年 9月	 7 	0	 3 	 7 	 154 	 136 	 4 	0	0
97年 10月	 4 	0	0	 8 	 161 	 98 	 3 	0	0
97年 11月	 3 	 1 	 4 	 6 	 132 	 102 	 2 	0	0
97年 12月	 4 	0	 3 	 7 	 146 	 87 	 8 	0	0
98年	 81 	 3 	 40 	 92 	 2,123 	 2,080 	 192 	0	 2 
98年 1月	 3 	0	 3 	 3 	 128 	 86 	 9 	0	0
98年 2月	 3 	 1 	 1 	 4 	 196 	 143 	 5 	0	0
98年 3月	 9 	0	 3 	 11 	 199 	 146 	 22 	0	0
98年 4月	 13 	0	 6 	 6 	 197 	 162 	 22 	0	0
98年 5月	 7 	0	 7 	 4 	 166 	 152 	 19 	0	0
98年 6月	 12 	0	 4 	 10 	 131 	 149 	 8 	0	0
98年 7月	 2 	 1 	 1 	 6 	 341 	 319 	 41 	0	0
98年 8月	 8 	0	 3 	 5 	 205 	 248 	 21 	0	0
98年 9月	 6 	0	 3 	 6 	 136 	 174 	 12 	0	0
98年 10月	 10 	0	 2 	 21 	 143 	 170 	 16 	0	0
98年 11月	 2 	 1 	 5 	 9 	 137 	 164 	 9 	0	 1 
98年 12月	 6 	0	 2 	 7 	 144 	 167 	 8 	0	 1 
99年	 62 	 3 	 25 	 67 	 1,686 	 2,893 	 179 	 1 	0
99年 1月	 6 	 1 	 1 	 8 	 153 	 181 	 12 	0	0
99年 2月	 2 	0	 2 	 4 	 97 	 171 	 2 	0	0
99年 3月	 2 	 1 	0	 5 	 138 	 233 	 10 	0	0
99年 4月	 2 	0	 2 	 1 	 165 	 242 	 15 	 1 	0
99年 5月	 9 	0	 3 	 4 	 141 	 235 	 11 	0	0
99年 6月	 4 	0	 3 	 5 	 104 	 177 	 7 	0	0
99年 7月	 6 	0	 3 	 3 	 194 	 347 	 34 	0	0
99年 8月	 5 	0	 1 	 9 	 134 	 314 	 28 	0	0
99年 9月	 7 	0	 1 	 5 	 178 	 282 	 18 	0	0
99年 10月	 8 	0	 1 	 8 	 141 	 282 	 13 	0	0
99年 11月	 4 	 1 	 2 	 10 	 146 	 258 	 24 	0	0
99年 12月	 7 	0	 6 	 5 	 95 	 171 	 5 	0	0
100年	 30 	0	 50 	 61 	 1,646 	 2,447 	 346 	0	0
