時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
98年 2月	0	0	 3 	 23 	 10 	0	 2 	 3 	0
98年 3月	 1 	 2 	0	 38 	 23 	0	 6 	 5 	0
98年 4月	0	 15 	 2 	 30 	 15 	0	 1 	 7 	0
98年 5月	0	 4 	 4 	 24 	 22 	0	 7 	 4 	0
98年 6月	0	 1 	 1 	 20 	 22 	 1 	 2 	 11 	0
98年 7月	0	 4 	 5 	 36 	 19 	 3 	 6 	 4 	0
98年 8月	0	 8 	 1 	 43 	 12 	 1 	 4 	 9 	0
98年 9月	0	 7 	0	 37 	 11 	0	 7 	 10 	0
98年 10月	0	 4 	 2 	 14 	 22 	0	 2 	 9 	0
98年 11月	0	 2 	 2 	 13 	 13 	 1 	 2 	 5 	0
98年 12月	0	 3 	 3 	 9 	 10 	 1 	 1 	 3 	0
99年	0	 36 	 17 	 283 	 171 	 6 	 50 	 73 	 1 
99年 1月	0	 2 	 4 	 34 	 13 	0	 4 	 7 	0
99年 2月	0	0	0	 7 	 11 	0	 5 	 2 	0
99年 3月	0	 2 	 1 	 37 	 9 	0	 4 	 3 	0
99年 4月	0	 2 	0	 33 	 18 	0	 7 	 3 	0
99年 5月	0	0	 1 	 33 	 23 	0	 6 	 13 	0
99年 6月	0	 6 	0	 25 	 15 	 1 	 5 	 9 	0
99年 7月	0	 2 	 2 	 20 	 14 	 1 	 2 	 6 	0
99年 8月	0	 3 	 2 	 26 	 15 	 1 	 4 	 7 	0
99年 9月	0	 1 	 3 	 19 	 15 	0	 2 	 4 	 1 
99年 10月	0	 5 	 2 	 31 	 14 	 1 	 3 	 6 	0
99年 11月	0	 6 	0	 15 	 18 	 1 	 6 	 9 	0
99年 12月	0	 7 	 2 	 3 	 6 	 1 	 2 	 4 	0
100年	0	 89 	 7 	 229 	 83 	 4 	 38 	 124 	 1 
100年 1月	0	 4 	0	 29 	 11 	 1 	 4 	 5 	0
100年 2月	0	 7 	0	 17 	 9 	0	 1 	 6 	0
100年 3月	0	 7 	0	 23 	 13 	 1 	 2 	 8 	0
100年 4月	0	 6 	 1 	 22 	 16 	 1 	 3 	 8 	0
100年 5月	0	 4 	 1 	 15 	 5 	0	 10 	 8 	 1 
100年 6月	0	 4 	0	 23 	 3 	0	 10 	 6 	0
100年 7月	0	 5 	 3 	 29 	 3 	0	 2 	 10 	0
100年 8月	0	 2 	 1 	 31 	 5 	0	0	 16 	0
100年 9月	0	 2 	0	 20 	 9 	0	 2 	 14 	0
100年 10月	0	 7 	0	 9 	 3 	 1 	 3 	 14 	0
100年 11月	0	 19 	0	 9 	 2 	0	 1 	 16 	0
100年 12月	0	 22 	 1 	 2 	 4 	0	0	 13 	0
101年	0	 69 	 8 	 176 	 44 	 4 	 10 	 150 	0
101年 1月	0	 10 	 1 	 1 	 3 	 2 	 2 	 8 	0
101年 2月	0	 9 	0	 6 	 3 	0	 1 	 15 	0
101年 3月	0	 8 	 1 	 8 	 7 	0	 1 	 23 	0
101年 4月	0	 4 	 1 	 8 	 5 	0	 1 	 12 	0
101年 5月	0	 8 	0	 12 	 3 	0	 2 	 16 	0
101年 6月	0	 3 	0	 11 	 2 	0	0	 8 	0
