時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
98年 11月	 43 	 4 	 15 	 14 	 3 	0	 13 	 8 	0
98年 12月	 32 	 6 	 11 	 8 	 7 	0	 5 	 8 	 2 
99年	 531 	 121 	 182 	 68 	 99 	0	 276 	 112 	 13 
99年 1月	 44 	 10 	 13 	 4 	 3 	0	 11 	 12 	0
99年 2月	 30 	 6 	 12 	 16 	 13 	0	 10 	 5 	 1 
99年 3月	 33 	 13 	 18 	 5 	 3 	0	 15 	 14 	0
99年 4月	 39 	 14 	 44 	 2 	 9 	0	 22 	 5 	 1 
99年 5月	 32 	 14 	 17 	 4 	 2 	0	 43 	 7 	 2 
99年 6月	 50 	 5 	 13 	 3 	 23 	0	 51 	 9 	0
99年 7月	 51 	 8 	 11 	 7 	 5 	0	 29 	 5 	0
99年 8月	 51 	 9 	 8 	 10 	 11 	0	 10 	 14 	0
99年 9月	 43 	 17 	 9 	 1 	 7 	0	 21 	 9 	 1 
99年 10月	 60 	 6 	 20 	 6 	 12 	0	 28 	 11 	 3 
99年 11月	 59 	 10 	 10 	 7 	 4 	0	 11 	 10 	 2 
99年 12月	 39 	 9 	 7 	 3 	 7 	0	 25 	 11 	 3 
100年	 648 	 152 	 122 	 48 	 71 	0	 203 	 131 	 23 
100年 1月	 50 	 9 	 9 	 3 	 9 	0	 18 	 11 	 1 
100年 2月	 36 	 18 	 9 	 6 	 2 	0	 9 	 11 	 1 
100年 3月	 49 	 10 	 10 	 3 	 2 	0	 12 	 10 	 4 
100年 4月	 50 	 15 	 9 	 7 	 5 	0	 18 	 4 	 2 
100年 5月	 64 	 11 	 9 	 4 	 4 	0	 15 	 16 	 5 
100年 6月	 54 	 15 	 3 	 4 	 8 	0	 21 	 9 	 1 
100年 7月	 65 	 19 	 11 	 2 	 9 	0	 13 	 12 	 1 
100年 8月	 62 	 7 	 13 	 2 	 7 	0	 28 	 8 	0
100年 9月	 45 	 11 	 13 	 2 	 7 	0	 28 	 11 	 3 
100年 10月	 70 	 19 	 10 	 3 	 6 	0	 13 	 5 	 1 
100年 11月	 54 	 10 	 15 	 6 	 10 	0	 9 	 14 	 2 
100年 12月	 49 	 8 	 11 	 6 	 2 	0	 19 	 20 	 2 
101年	 549 	 194 	 108 	 52 	 68 	0	 297 	 105 	 21 
101年 1月	 37 	 11 	 10 	 1 	 2 	0	 41 	 11 	 2 
101年 2月	 53 	 13 	 5 	 7 	 6 	0	 10 	 6 	 2 
101年 3月	 44 	 15 	 10 	 4 	 6 	0	 31 	 13 	0
101年 4月	 44 	 17 	 11 	 6 	 3 	0	 12 	 9 	 1 
101年 5月	 47 	 14 	 11 	 6 	 4 	0	 36 	 10 	0
101年 6月	 40 	 13 	 6 	 4 	 4 	0	 9 	 4 	 3 
101年 7月	 51 	 13 	 8 	 1 	 2 	0	 27 	 11 	 2 
101年 8月	 41 	 14 	 7 	 5 	 4 	0	 26 	 7 	 2 
101年 9月	 49 	 21 	 10 	 8 	 20 	0	 62 	 11 	0
101年 10月	 52 	 20 	 9 	 3 	 8 	0	 12 	 8 	 3 
101年 11月	 48 	 25 	 14 	 3 	 7 	0	 21 	 8 	 3 
101年 12月	 43 	 18 	 7 	 4 	 2 	0	 10 	 7 	 3 
102年	 600 	 181 	 102 	 52 	 38 	0	 431 	 132 	 20 
102年 1月	 47 	 24 	 10 	 2 	0	0	 36 	 12 	0
102年 2月	 32 	 18 	 9 	 8 	 4 	0	 34 	 12 	0
102年 3月	 46 	 14 	 9 	 2 	 6 	0	 59 	 7 	 3 
102年 4月	 47 	 20 	 9 	 3 	 1 	0	 44 	 6 	 2 
102年 5月	 39 	 13 	 6 	 12 	 4 	0	 27 	 16 	 2 
102年 6月	 51 	 13 	 9 	 2 	0	0	 29 	 11 	 2 
102年 7月	 57 	 18 	 4 	 2 	0	0	 58 	 17 	0
102年 8月	 44 	 12 	 11 	 4 	 3 	0	 42 	 11 	 3 
102年 9月	 56 	 13 	 9 	 3 	 4 	0	 13 	 9 	 2 
102年 10月	 66 	 14 	 6 	 8 	 7 	0	 22 	 9 	 3 
102年 11月	 61 	 14 	 10 	 2 	 6 	0	 48 	 10 	 2 
102年 12月	 54 	 8 	 10 	 4 	 3 	0	 19 	 12 	 1 
103年	 600 	 226 	 139 	 45 	 47 	0	 379 	 131 	 23 
103年 1月	 53 	 14 	 7 	 3 	 2 	0	 24 	 14 	 2 
103年 2月	 49 	 15 	 8 	0	 3 	0	 21 	 11 	 2 
103年 3月	 62 	 17 	 15 	 6 	 1 	0	 18 	 12 	0
103年 4月	 57 	 23 	 10 	 4 	 6 	0	 57 	 8 	 1 
103年 5月	 38 	 33 	 9 	 3 	 1 	0	 28 	 13 	 1 
103年 6月	 44 	 23 	 11 	 4 	 3 	0	 44 	 10 	 3 
103年 7月	 73 	 19 	 16 	 3 	 5 	0	 15 	 11 	 2 
103年 8月	 42 	 18 	 17 	 4 	 9 	0	 17 	 13 	 2 
103年 9月	 43 	 11 	 15 	 6 	 4 	0	 24 	 11 	 5 
103年 10月	 49 	 30 	 14 	 6 	 3 	0	 59 	 9 	 3 
103年 11月	 47 	 18 	 12 	 5 	 1 	0	 54 	 8 	0
103年 12月	 43 	 5 	 5 	 1 	 9 	0	 18 	 11 	 2 
104年	 601 	 239 	 181 	 32 	 34 	0	 540 	 107 	 20 
104年 1月	 47 	 28 	 15 	 1 	 1 	0	 30 	 9 	0
104年 2月	 41 	 14 	 8 	 1 	 1 	0	 23 	 4 	 1 
104年 3月	 55 	 17 	 10 	 1 	 2 	0	 24 	 17 	 2 
104年 4月	 42 	 23 	 6 	 3 	 4 	0	 28 	 5 	 2 
104年 5月	 45 	 16 	 9 	 4 	 2 	0	 59 	 11 	 1 
104年 6月	 46 	 28 	 18 	 6 	0	0	 67 	 8 	 2 
104年 7月	 60 	 23 	 10 	 5 	0	0	 16 	 8 	 4 
104年 8月	 50 	 20 	 20 	0	 4 	0	 39 	 12 	 1 
104年 9月	 58 	 17 	 23 	 2 	 6 	0	 31 	 9 	 2 
104年 10月	 62 	 16 	 33 	 2 	 7 	0	 101 	 5 	 2 
104年 11月	 50 	 22 	 17 	 2 	 7 	0	 82 	 10 	 2 
104年 12月	 45 	 15 	 12 	 5 	0	0	 40 	 9 	 1 
105年	 680 	 255 	 176 	 45 	 24 	0	 368 	 118 	 23 
105年 1月	 57 	 12 	 21 	 1 	 1 	0	 43 	 10 	 1 
105年 2月	 39 	 22 	 16 	 4 	0	0	 14 	 10 	 1 
105年 3月	 69 	 15 	 19 	 5 	 1 	0	 50 	 10 	0
105年 4月	 43 	 16 	 10 	0	 6 	0	 33 	 10 	 1 
105年 5月	 62 	 22 	 16 	 4 	 3 	0	 26 	 10 	 3 
105年 6月	 49 	 22 	 17 	 4 	 1 	0	 63 	 10 	 1 
105年 7月	 63 	 27 	 17 	 2 	 3 	0	 16 	 17 	 1 
105年 8月	 60 	 22 	 9 	 2 	 3 	0	 36 	 11 	0
105年 9月	 51 	 26 	 11 	 5 	0	0	 15 	 11 	 1 
105年 10月	 57 	 23 	 10 	 9 	 2 	0	 27 	 4 	 6 
105年 11月	 77 	 18 	 14 	 5 	 1 	0	 41 	 9 	 4 
105年 12月	 53 	 30 	 16 	 4 	 3 	0	 4 	 6 	 4 
