時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
99年 10月	 10 	0	 25 	 14 	 226 	 282 	 15 	0	0
99年 11月	 8 	0	 26 	 17 	 261 	 293 	 2 	0	0
99年 12月	 12 	 1 	 17 	 13 	 146 	 184 	 8 	0	0
100年	 188 	0	 418 	 214 	 3,123 	 3,817 	 107 	 3 	0
100年 1月	 23 	0	 38 	 12 	 222 	 293 	 2 	0	0
100年 2月	 24 	0	 19 	 10 	 239 	 299 	 9 	0	0
100年 3月	 10 	0	 30 	 23 	 316 	 381 	 11 	 1 	0
100年 4月	 13 	0	 22 	 13 	 207 	 253 	 12 	0	0
100年 5月	 13 	0	 34 	 22 	 237 	 318 	 12 	0	0
100年 6月	 14 	0	 24 	 17 	 238 	 313 	 6 	0	0
100年 7月	 13 	0	 42 	 25 	 418 	 474 	 17 	 2 	0
100年 8月	 24 	0	 34 	 9 	 345 	 411 	 10 	0	0
100年 9月	 14 	0	 35 	 14 	 186 	 248 	 10 	0	0
100年 10月	 12 	0	 50 	 22 	 263 	 291 	 10 	0	0
100年 11月	 18 	0	 44 	 29 	 257 	 308 	 3 	0	0
100年 12月	 10 	0	 46 	 18 	 195 	 228 	 5 	0	0
101年	 132 	0	 502 	 212 	 2,648 	 3,019 	 130 	 3 	 2 
101年 1月	 11 	0	 30 	 6 	 204 	 220 	 7 	0	0
101年 2月	 13 	0	 30 	 19 	 301 	 344 	 6 	0	0
101年 3月	 14 	0	 33 	 21 	 222 	 272 	 8 	 1 	0
101年 4月	 17 	0	 42 	 15 	 240 	 286 	 8 	0	0
101年 5月	 14 	0	 46 	 13 	 172 	 163 	 7 	0	0
101年 6月	 7 	0	 39 	 12 	 209 	 227 	 5 	0	0
101年 7月	 8 	0	 51 	 20 	 338 	 411 	 25 	0	 1 
101年 8月	 16 	0	 43 	 27 	 239 	 307 	 26 	 1 	0
101年 9月	 9 	0	 30 	 17 	 181 	 212 	 7 	0	0
101年 10月	 9 	0	 48 	 19 	 215 	 239 	 16 	 1 	0
101年 11月	 11 	0	 56 	 33 	 169 	 190 	 8 	0	0
101年 12月	 3 	0	 54 	 10 	 158 	 148 	 7 	0	 1 
102年	 82 	0	 474 	 214 	 1,834 	 2,299 	 161 	 1 	0
102年 1月	 4 	0	 62 	 19 	 134 	 178 	 17 	0	0
102年 2月	 2 	0	 23 	 9 	 185 	 247 	 11 	0	0
102年 3月	 7 	0	 47 	 17 	 178 	 189 	 14 	0	0
102年 4月	 16 	0	 41 	 23 	 142 	 180 	 13 	0	0
102年 5月	 8 	0	 38 	 18 	 176 	 205 	 10 	0	0
102年 6月	 5 	0	 32 	 21 	 133 	 210 	 14 	0	0
102年 7月	 17 	0	 44 	 13 	 199 	 217 	 27 	0	0
