時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
100年 7月	 528 	 114 	 2 	 17 	0	 5 	 95 	 8 	 6 
100年 8月	 543 	 92 	 21 	 15 	 1 	 5 	 120 	 3 	 6 
100年 9月	 546 	 109 	 2 	 21 	 1 	 3 	 109 	 9 	 5 
100年 10月	 429 	 70 	 6 	 10 	 1 	 2 	 92 	 19 	0
100年 11月	 318 	 47 	 3 	 13 	0	 16 	 122 	 9 	 4 
100年 12月	 192 	 29 	 1 	 19 	0	 22 	 65 	 13 	 3 
101年	 6,958 	 1,121 	 289 	 254 	 3 	 140 	 840 	 110 	 50 
101年 1月	 1,516 	 193 	 110 	 93 	0	 8 	 69 	 3 	 3 
101年 2月	 1,162 	 174 	 141 	 47 	0	 5 	 62 	 5 	 5 
101年 3月	 448 	 94 	 1 	 6 	0	 6 	 79 	 5 	 4 
101年 4月	 379 	 79 	 4 	 17 	 2 	 14 	 59 	 7 	 5 
101年 5月	 484 	 75 	 5 	 13 	0	 16 	 69 	 15 	 3 
101年 6月	 424 	 79 	0	 5 	0	 9 	 58 	 7 	 4 
101年 7月	 484 	 93 	 8 	 13 	 1 	 28 	 60 	 16 	 5 
101年 8月	 484 	 87 	 7 	 8 	0	 18 	 86 	 10 	 4 
101年 9月	 480 	 77 	 1 	 14 	0	 15 	 84 	 8 	 10 
101年 10月	 536 	 83 	 5 	 23 	0	 6 	 82 	 6 	 3 
101年 11月	 383 	 41 	 4 	 4 	0	 11 	 69 	 16 	 1 
101年 12月	 178 	 46 	 3 	 11 	0	 4 	 63 	 12 	 3 
102年	 5,576 	 915 	 142 	 208 	 1 	 73 	 594 	 98 	 52 
102年 1月	 292 	 20 	 9 	 23 	0	 9 	 58 	 10 	 1 
102年 2月	 1,896 	 268 	 105 	 89 	0	 1 	 17 	 3 	 3 
102年 3月	 376 	 65 	 4 	 12 	0	 6 	 46 	 6 	 6 
102年 4月	 380 	 88 	 3 	 7 	0	 7 	 64 	 14 	 4 
102年 5月	 361 	 73 	 1 	 6 	0	 6 	 52 	 11 	 4 
102年 6月	 378 	 59 	 6 	 8 	0	 9 	 35 	 9 	 4 
102年 7月	 399 	 63 	 4 	 7 	0	 9 	 63 	 6 	 7 
102年 8月	 377 	 75 	 1 	 18 	0	 5 	 54 	 7 	 3 
102年 9月	 373 	 79 	 7 	 9 	0	 3 	 47 	 5 	 7 
102年 10月	 358 	 52 	 1 	 16 	0	 10 	 57 	 13 	 5 
102年 11月	 250 	 48 	0	 9 	 1 	 4 	 57 	 5 	 6 
102年 12月	 136 	 25 	 1 	 4 	0	 4 	 44 	 9 	 2 
103年	 5,226 	 823 	 133 	 243 	 1 	 90 	 702 	 98 	 36 
103年 1月	 1,396 	 127 	 88 	 100 	0	 5 	 30 	 8 	 5 
103年 2月	 543 	 67 	 21 	 52 	0	0	 83 	 1 	 6 
103年 3月	 346 	 65 	 5 	 10 	0	 2 	 53 	 10 	 2 
103年 4月	 347 	 63 	 5 	 14 	0	 1 	 54 	 7 	 3 
103年 5月	 337 	 59 	 4 	 7 	0	 4 	 53 	 3 	 2 
103年 6月	 314 	 47 	 2 	 2 	0	 9 	 43 	 13 	 4 
103年 7月	 388 	 71 	 2 	 5 	0	 11 	 56 	 12 	 4 
103年 8月	 379 	 85 	 2 	 16 	 1 	 9 	 59 	 6 	 1 
103年 9月	 353 	 81 	 2 	 13 	0	 16 	 70 	 10 	 2 
103年 10月	 383 	 67 	 1 	 9 	0	 15 	 72 	 14 	 5 
103年 11月	 223 	 50 	 1 	 10 	0	 12 	 59 	 5 	 2 
103年 12月	 217 	 41 	0	 5 	0	 6 	 70 	 9 	0
104年	0	0	0	0	0	0	0	0	0
104年 1月	0	0	0	0	0	0	0	0	0
104年 2月	0	0	0	0	0	0	0	0	0
104年 3月	0	0	0	0	0	0	0	0	0
104年 4月	0	0	0	0	0	0	0	0	0
104年 5月	0	0	0	0	0	0	0	0	0
104年 6月	0	0	0	0	0	0	0	0	0
104年 7月	0	0	0	0	0	0	0	0	0
104年 8月	0	0	0	0	0	0	0	0	0
104年 9月	0	0	0	0	0	0	0	0	0
104年 10月	0	0	0	0	0	0	0	0	0
104年 11月	0	0	0	0	0	0	0	0	0
104年 12月	0	0	0	0	0	0	0	0	0
105年	0	0	0	0	0	0	0	0	0
105年 1月	0	0	0	0	0	0	0	0	0
105年 2月	0	0	0	0	0	0	0	0	0
105年 3月	0	0	0	0	0	0	0	0	0
105年 4月	0	0	0	0	0	0	0	0	0
105年 5月	0	0	0	0	0	0	0	0	0
105年 6月	0	0	0	0	0	0	0	0	0
105年 7月	0	0	0	0	0	0	0	0	0
105年 8月	0	0	0	0	0	0	0	0	0
105年 9月	0	0	0	0	0	0	0	0	0
105年 10月	0	0	0	0	0	0	0	0	0
105年 11月	0	0	0	0	0	0	0	0	0
105年 12月	0	0	0	0	0	0	0	0	0
