時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
97年 11月	 77 	 18 	 2 	 1 	0	 20 	 46 	 7 	 2 
97年 12月	 39 	 16 	0	 2 	0	 21 	 28 	 5 	0
98年	 948 	 156 	 12 	 131 	 1 	 362 	 333 	 96 	 11 
98年 1月	 115 	 28 	 1 	 22 	0	 18 	 24 	 5 	0
98年 2月	 140 	 5 	 1 	 23 	0	 29 	 30 	 6 	0
98年 3月	 61 	 17 	 1 	 5 	0	 31 	 34 	 6 	 1 
98年 4月	 73 	 13 	 2 	 9 	0	 28 	 17 	 8 	 1 
98年 5月	 71 	 12 	 2 	 9 	0	 31 	 30 	 3 	 1 
98年 6月	 61 	 14 	 3 	 9 	 1 	 18 	 27 	 6 	 3 
98年 7月	 71 	 9 	 1 	 14 	0	 29 	 38 	 18 	 1 
98年 8月	 81 	 16 	0	 4 	0	 34 	 22 	 5 	 2 
98年 9月	 75 	 10 	 1 	 4 	0	 45 	 25 	 10 	0
98年 10月	 85 	 10 	0	 13 	0	 32 	 35 	 7 	0
98年 11月	 68 	 13 	0	 12 	0	 34 	 19 	 11 	 1 
98年 12月	 47 	 9 	0	 7 	0	 33 	 32 	 11 	 1 
99年	 1,104 	 174 	 18 	 169 	0	 330 	 334 	 106 	 15 
99年 1月	 60 	 11 	0	 6 	0	 16 	 15 	 5 	0
99年 2月	 228 	 20 	 3 	 56 	0	 30 	 37 	 3 	 4 
99年 3月	 76 	 12 	 1 	 14 	0	 26 	 20 	 8 	0
99年 4月	 192 	 23 	0	 13 	0	 35 	 32 	 10 	 1 
99年 5月	 60 	 18 	 1 	 13 	0	 35 	 28 	 15 	 2 
99年 6月	 66 	 10 	 1 	 6 	0	 22 	 30 	 11 	 1 
99年 7月	 71 	 12 	0	 14 	0	 31 	 39 	 10 	 2 
99年 8月	 79 	 16 	0	 9 	0	 20 	 19 	 7 	0
99年 9月	 73 	 28 	 3 	 12 	0	 26 	 39 	 12 	 1 
99年 10月	 61 	 7 	 1 	 14 	0	 31 	 23 	 9 	0
99年 11月	 73 	 9 	 6 	 9 	0	 24 	 26 	 7 	 1 
99年 12月	 65 	 8 	 2 	 3 	0	 34 	 26 	 9 	 3 
100年	 977 	 93 	 16 	 159 	 1 	 388 	 313 	 122 	 12 
100年 1月	 93 	 11 	 3 	 23 	0	 35 	 23 	 7 	 2 
100年 2月	 109 	 8 	 6 	 22 	0	 23 	 22 	 6 	 1 
100年 3月	 70 	 16 	0	 13 	0	 38 	 34 	 9 	 3 
100年 4月	 88 	 11 	 2 	 11 	0	 26 	 28 	 11 	0
100年 5月	 68 	 9 	 1 	 15 	 1 	 33 	 26 	 8 	 1 
100年 6月	 76 	 6 	0	 13 	0	 44 	 17 	 8 	0
