時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
102年 4月	 101 	 8 	0	 12 	 1 	 21 	 30 	 19 	 2 
102年 5月	 96 	 7 	 3 	 3 	0	 20 	 31 	 15 	 2 
102年 6月	 92 	 3 	 1 	 3 	0	 23 	 24 	 15 	 2 
102年 7月	 88 	 10 	0	 6 	 1 	 24 	 27 	 12 	0
102年 8月	 76 	 14 	0	 6 	0	 21 	 28 	 16 	 1 
102年 9月	 82 	 13 	0	 8 	0	 22 	 20 	 17 	 2 
102年 10月	 80 	 14 	0	 9 	0	 27 	 24 	 12 	0
102年 11月	 83 	 18 	0	 14 	0	 24 	 33 	 22 	0
102年 12月	 30 	 5 	0	 8 	0	 21 	 50 	 15 	 1 
103年	 1,430 	 160 	 29 	 194 	 1 	 200 	 303 	 154 	 16 
103年 1月	 258 	 22 	 2 	 70 	0	 10 	 39 	 12 	0
103年 2月	 138 	 14 	 6 	 48 	0	 12 	 39 	 10 	 2 
103年 3月	 113 	 15 	 4 	 10 	 1 	 12 	 9 	 16 	 3 
103年 4月	 120 	 13 	 3 	 9 	0	 28 	 21 	 16 	 1 
103年 5月	 107 	 12 	0	 11 	0	 18 	 17 	 5 	 1 
103年 6月	 108 	 14 	 1 	 14 	0	 9 	 15 	 15 	 2 
103年 7月	 110 	 14 	 1 	 9 	0	 27 	 25 	 20 	 2 
103年 8月	 125 	 19 	 3 	 4 	0	 18 	 34 	 11 	 1 
103年 9月	 96 	 11 	 1 	 5 	0	 20 	 23 	 13 	 1 
103年 10月	 105 	 8 	 3 	 10 	0	 14 	 29 	 14 	 3 
103年 11月	 89 	 9 	 3 	 3 	0	 17 	 24 	 14 	0
103年 12月	 61 	 9 	 2 	 1 	0	 15 	 28 	 8 	0
104年	 1,364 	 165 	 14 	 172 	0	 209 	 403 	 158 	 11 
104年 1月	 22 	 8 	 1 	 2 	0	 22 	 33 	 3 	 1 
104年 2月	 308 	 23 	 2 	 111 	0	 12 	 27 	 8 	0
104年 3月	 117 	 8 	0	 7 	0	 8 	 24 	 14 	 1 
104年 4月	 111 	 15 	 1 	 9 	0	 18 	 37 	 15 	 2 
104年 5月	 105 	 14 	 2 	 3 	0	 20 	 32 	 18 	 1 
104年 6月	 98 	 16 	 4 	 3 	0	 16 	 37 	 11 	0
104年 7月	 108 	 14 	0	 4 	0	 19 	 44 	 14 	0
104年 8月	 91 	 24 	 1 	 11 	0	 13 	 49 	 19 	 1 
104年 9月	 108 	 10 	0	 8 	0	 17 	 27 	 17 	0
104年 10月	 108 	 13 	 2 	 6 	0	 23 	 42 	 13 	 3 
104年 11月	 88 	 14 	0	 4 	0	 19 	 26 	 20 	0
104年 12月	 100 	 6 	 1 	 4 	0	 22 	 25 	 6 	 2 
105年	 1,236 	 91 	 11 	 143 	0	 256 	 470 	 205 	 8 
105年 1月	 112 	 10 	0	 15 	0	 20 	 41 	 10 	 1 
105年 2月	 89 	 12 	 1 	 81 	0	 17 	 30 	 7 	0
105年 3月	 100 	 10 	0	 6 	0	 14 	 28 	 14 	0
105年 4月	 68 	 8 	 1 	 6 	0	 24 	 27 	 17 	 1 
105年 5月	 144 	 5 	 2 	 12 	0	 21 	 39 	 18 	0
105年 6月	 97 	 2 	0	 2 	0	 27 	 38 	 24 	0
105年 7月	 97 	 10 	0	 4 	0	 19 	 25 	 21 	0
105年 8月	 122 	 7 	 1 	0	0	 23 	 45 	 22 	0
105年 9月	 106 	 7 	0	 6 	0	 20 	 48 	 12 	 1 
105年 10月	 118 	 6 	0	 6 	0	 27 	 56 	 24 	0
105年 11月	 114 	 9 	 5 	 4 	0	 31 	 51 	 23 	0
105年 12月	 69 	 5 	 1 	 1 	0	 13 	 42 	 13 	 5 
